step,speedX,speedY,angle,trackPos,distFromStart,distRaced,damage,steer,accel,brake,gear,r_speed,r_safety,r_smooth,r_anticipation,r_recovery,r_time,r_terminal,reward_total,terminal_reason
0,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.7186867594718933,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.0,-0.0,0.0,-1.0,0.0,-1.0090773807625237,
1,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.5082017183303833,0.5347863435745239,0.0,1,-0.009092603003111566,1.522224058775e-05,-1.2268884778022766,-0.0,0.016671950000000102,-1.0,0.0,-1.3604719741032065,
2,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-1.5082017183303833,-0.0,0.016671950000000102,-1.0,0.0,-1.4448659462616387,
3,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.6705520153045654,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-1.6705520153045654,-0.0,0.016671950000000102,-1.0,0.0,-1.4935710353538934,
4,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-1.6705520153045654,-0.0,0.016671950000000102,-1.0,0.0,-1.4935710353538934,
5,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.14962011575698853,0.9074510931968689,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.8503798842430115,-0.0,0.016671950000000102,-1.0,0.0,-1.2475193960354272,
6,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.44402194023132324,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.2944018244743347,-0.0,0.016671950000000102,-1.0,0.0,-1.0807259781048242,
7,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,0.30280840396881104,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.5559780597686768,-0.0,0.016671950000000102,-1.0,0.0,-1.1591988486931268,
8,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.5396866798400879,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.4603133201599121,-0.0,0.016671950000000102,-1.0,0.0,-1.1304994268104973,
9,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.01783415675163269,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.5575208365917206,-0.0,0.016671950000000102,-1.0,0.0,-1.1596616817400398,
10,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-1.0178341567516327,-0.0,0.016671950000000102,-1.0,0.0,-1.2977556777880135,
