param,value,ep_len_mean,ep_rew_mean,(empty),backward,collision,lap_complete,out_of_track,stuck,wall_pinned
w_anticipation,0.1,515.6610169491526,3728.357743898305,2,3,1,0,8,46,0
w_anticipation,0.45,537.0363636363636,4952.046305854546,1,2,0,0,20,33,0
