step,speedX,speedY,angle,trackPos,distFromStart,distRaced,damage,steer,accel,brake,gear,r_speed,r_safety,r_ttc,r_smooth,r_anticipation,r_time,r_terminal,reward_total,terminal_reason
25,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.5614825487136841,1.0,0.0,1,0.0,0.0,0.0,-1.5477460026741028,-0.0,-1.0,0.0,-1.4643238008022308,
26,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.14917993545532227,0.3498017191886902,0.0716935396194458,1,0.0,0.0,0.0,-0.4123026132583618,-0.0,-1.0,0.0,-1.1236907839775085,
27,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.14053383469581604,1.0,1.0,1,0.0,0.0,0.0,-0.008646100759506226,-0.0,-1.0,0.0,-1.0025938302278519,
28,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,1.0,0.8283416032791138,0.0,1,0.0,0.0,0.0,-0.859466165304184,-0.0,-1.0,0.0,-1.2578398495912553,
29,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,0.7720711827278137,0.0,1,0.0,0.0,0.0,-2.0,-0.0,-1.0,0.0,-1.6,
30,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.24828627705574036,0.4262201189994812,0.366010844707489,1,0.0,0.0,0.0,-1.2482862770557404,-0.0,-1.0,0.0,-1.3744858831167222,
31,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.426268607378006,0.9724783897399902,0.0,1,0.0,0.0,0.0,-0.6745548844337463,-0.0,-1.0,0.0,-1.2023664653301238,
32,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,0.27970778942108154,0.0,1,0.0,0.0,0.0,-0.573731392621994,-0.0,-1.0,0.0,-1.1721194177865981,
33,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.46933916211128235,1.0,0.0,1,0.0,0.0,0.0,-1.4693391621112823,-0.0,-1.0,0.0,-1.4408017486333846,
34,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.8946355581283569,0.8059059977531433,0.06377938389778137,1,0.0,0.0,0.0,-0.4252963960170746,-0.0,-1.0,0.0,-1.1275889188051225,
35,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.9189090132713318,1.0,0.033132076263427734,1,0.0,0.0,0.0,-0.024273455142974854,-0.0,-1.0,0.0,-1.0072820365428925,
36,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.5101609230041504,0.0,0.0,1,0.0,0.0,0.0,-0.4087480902671814,-0.0,-1.0,0.0,-1.1226244270801544,
37,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.5598353147506714,0.23839528858661652,0.255423367023468,1,0.0,0.0,0.0,-1.0699962377548218,-0.0,-1.0,0.0,-1.3209988713264464,
38,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,1.0,0.07880693674087524,0.9182838201522827,1,0.0,0.0,0.0,-1.5598353147506714,-0.0,-1.0,0.0,-1.4679505944252014,
39,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,0.0,0.0,1,0.0,0.0,0.0,-2.0,-0.0,-1.0,0.0,-1.6,
40,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.6418967247009277,0.2514570951461792,1.0,1,0.0,0.0,0.0,-1.6418967247009277,-0.0,-1.0,0.0,-1.4925690174102784,
41,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.3756154179573059,1.0,0.4394431710243225,1,0.0,0.0,0.0,-1.0175121426582336,-0.0,-1.0,0.0,-1.3052536427974701,
42,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.48653414845466614,1.0,1.0,1,0.0,0.0,0.0,-0.11091873049736023,-0.0,-1.0,0.0,-1.033275619149208,
43,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.30452030897140503,1.0,0.0,1,0.0,0.0,0.0,-0.1820138394832611,-0.0,-1.0,0.0,-1.0546041518449782,
44,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,1.0,0.0,0.2821465730667114,1,0.0,0.0,0.0,-1.304520308971405,-0.0,-1.0,0.0,-1.3913560926914215,
45,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,0.0,0.6018058061599731,1,0.0,0.0,0.0,-2.0,-0.0,-1.0,0.0,-1.6,
46,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,0.0,0.0,1,0.0,0.0,0.0,-0.0,-0.0,-1.0,0.0,-1.0,
47,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.028002828359603882,0.0,1.0,1,0.0,0.0,0.0,-0.9719971716403961,-0.0,-1.0,0.0,-1.2915991514921188,
48,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,1.0,0.21592354774475098,1.0,1,0.0,0.0,0.0,-1.0280028283596039,-0.0,-1.0,0.0,-1.308400848507881,
49,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.13584741950035095,0.0,0.2127680480480194,1,0.0,0.0,0.0,-1.135847419500351,-0.0,-1.0,0.0,-1.3407542258501053,
50,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.6651313304901123,0.0,0.0,1,0.0,0.0,0.0,-0.8009787499904633,-0.0,-1.0,0.0,-1.240293624997139,
51,0.0890128,0.0103848,-1.40031e-05,0.333334,6351.65,0.0,0.0,-0.06098918616771698,1.0,0.39524996280670166,1,0.08901217676370307,0.0,0.0,-0.7261205166578293,-0.0,-1.0,0.0,-1.1288239782336458,
52,0.292071,-0.000504764,2.20934e-06,0.333334,6351.65,0.000976563,0.0,1.0,0.0,1.0,1,0.29207067735721565,0.0,0.0,-1.060989186167717,-0.0,-1.0,0.0,-1.0262260784930994,
53,0.0895957,0.0046886,4.98931e-05,0.333334,6351.65,0.000976563,0.0,-0.6118049621582031,1.0,0.0,1,0.08959346478487486,0.0,0.0,-1.6118049621582031,-0.0,-1.0,0.0,-1.393948023862586,
54,0.799941,-0.000180728,1.65145e-05,0.333334,6351.65,0.00341797,0.0,1.0,0.6253129243850708,0.0,1,0.7999343945780947,0.0,0.0,-1.6118049621582031,-0.0,-1.0,0.0,-0.6836070940693663,
55,1.58066,0.0746606,-0.000147518,0.333355,6351.66,0.0102539,0.0,-1.0,0.0,0.9379050731658936,1,1.5805433949006689,0.0,0.0,-2.0,-0.0,-1.0,0.0,-0.019456605099331115,
56,0.308303,0.0198223,-0.000172313,0.333416,6351.67,0.015625,0.0,1.0,0.0,0.0,1,0.3082764331156811,0.0,0.0,-2.0,-0.0,-1.0,0.0,-1.2917235668843188,
57,0.176572,0.00741625,-0.000183757,0.333416,6351.67,0.0170898,0.0,1.0,0.7277920246124268,0.17062607407569885,1,0.17655577384846818,0.0,0.0,-0.0,-0.0,-1.0,0.0,-0.8234442261515318,
58,0.644428,0.0250817,-0.000439342,0.333416,6351.67,0.0200195,0.0,0.7219066023826599,1.0,0.0,1,0.644286375667172,0.0,0.0,-0.2780933976173401,-0.0,-1.0,0.0,-0.4391416436180301,
59,1.44097,0.119399,-0.0008828,0.333487,6351.68,0.0258789,0.0,-0.28584057092666626,0.0,0.8809661269187927,1,1.440333394424869,0.0,0.0,-1.0077471733093262,-0.0,-1.0,0.0,0.13800924243207113,
