step,speedX,speedY,angle,trackPos,distFromStart,distRaced,steer,accel,brake,gear,r_speed,r_safety,r_ttc,r_time,r_terminal,reward_total,terminal_reason
38,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-1.0,0.0,0.0,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
39,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.924219012260437,0.4611864984035492,0.0,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
40,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.3566974401473999,0.0,0.0,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
41,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.09654752165079117,1.0,0.0,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
42,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.1377011239528656,0.5515490174293518,0.4564824104309082,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
43,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.7381159067153931,0.6848012208938599,0.5040823221206665,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
44,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.10315391421318054,1.0,0.0,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
45,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.40809574723243713,1.0,0.0,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
46,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,1.0,0.7643994688987732,0.0,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
47,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-1.0,1.0,0.009045660495758057,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
48,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.09010058641433716,1.0,0.0,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
49,-0.0660063,0.0013768,1.25567e-06,0.333334,6351.65,0.0,1.0,0.4402307868003845,0.2878269553184509,1,-0.0660062585588826,0.0,0.0,-1.0,0.0,-1.0660062585588825,
50,-0.0551687,0.00339091,-2.16325e-05,0.333334,6351.65,0.0,-1.0,1.0,0.0,1,-0.05516810326864016,0.0,0.0,-1.0,0.0,-1.0551681032686402,
51,0.19299,0.0150348,-1.82947e-05,0.333334,6351.65,0.0,1.0,0.39087340235710144,0.0,1,0.19298823462062709,0.0,0.0,-1.0,0.0,-0.8070117653793729,
52,0.767227,-0.00299197,-3.40303e-05,0.333334,6351.65,0.00195313,-1.0,1.0,0.0,1,0.7672139450732655,0.0,0.0,-1.0,0.0,-0.23278605492673454,
53,0.0706822,0.0216242,4.56015e-05,0.333334,6351.66,0.00390625,0.26244649291038513,0.0,1.0,1,0.07068058831933721,0.0,0.0,-1.0,0.0,-0.9293194116806628,
54,-0.0336157,0.00834319,-0.000151809,0.333334,6351.66,0.00439453,0.031162261962890625,0.0,0.037943124771118164,1,-0.0336131480297559,0.0,0.0,-1.0,0.0,-1.033613148029756,
55,0.778402,-0.0207972,-0.000175651,0.333334,6351.66,0.00683594,-0.22672118246555328,0.9220260381698608,0.0,1,0.7783336244473756,0.0,0.0,-1.0,0.0,-0.22166637555262436,
56,1.11939,0.0353642,-0.000141795,0.333334,6351.66,0.0126953,0.40767836570739746,1.0,0.2413913607597351,1,1.1193106267946131,0.0,0.0,-1.0,0.0,0.11931062679461313,
57,1.94459,0.0710005,-0.000431236,0.333385,6351.67,0.0209961,0.3061651587486267,1.0,0.0,1,1.9441705305940367,0.0,0.0,-1.0,0.0,0.9441705305940367,
58,2.06567,0.109151,-0.000921424,0.333487,6351.68,0.0327148,0.32068702578544617,0.0,0.0,1,2.0647174442778566,0.0,0.0,-1.0,0.0,1.0647174442778566,
59,2.49,-0.00164924,-0.00105398,0.333507,6351.7,0.0454102,-0.15647847950458527,0.5307316184043884,0.0,1,2.488686412105146,0.0,0.0,-1.0,0.0,1.488686412105146,
60,1.76732,0.00343326,-0.00109213,0.333507,6351.71,0.0581055,-0.12136398255825043,0.7501528263092041,0.8819580078125,1,1.7663538746125107,0.0,0.0,-1.0,0.0,0.7663538746125107,
61,1.59538,-0.12499,-0.000861343,0.333446,6351.72,0.0668945,-0.6131870150566101,0.4728517532348633,0.16929477453231812,1,1.5946923235717312,0.0,0.0,-1.0,0.0,0.5946923235717312,
62,1.75041,-0.0426533,-0.000552352,0.333365,6351.73,0.0756836,0.09391675889492035,0.2390875518321991,0.0,1,1.7499263117737438,0.0,0.0,-1.0,0.0,0.7499263117737438,
63,2.519,0.0493188,-0.000714954,0.333365,6351.74,0.0874023,0.31101393699645996,1.0,0.0,1,2.5180988717087023,0.0,0.0,-1.0,0.0,1.5180988717087023,
64,3.02063,0.135085,-0.00127762,0.333457,6351.75,0.103516,0.31666845083236694,0.44546303153038025,0.0,1,3.018697926568386,0.0,0.0,-1.0,0.0,2.018697926568386,
65,3.76834,0.285718,-0.00244158,0.33365,6351.77,0.122559,0.6481471061706543,0.8991085290908813,0.0,1,3.7637284206607475,0.0,0.0,-1.0,0.0,2.7637284206607475,
66,4.20719,0.239233,-0.00354641,0.333935,6351.8,0.14502,0.14971712231636047,0.46149370074272156,0.0,1,4.199703348357077,0.0,0.0,-1.0,0.0,3.199703348357077,
67,4.71734,0.204826,-0.00430506,0.334138,6351.82,0.169922,0.28109729290008545,0.5367573499679565,0.0,1,4.707142101054309,0.0,0.0,-1.0,0.0,3.707142101054309,
68,5.06222,0.410032,-0.00560969,0.334423,6351.85,0.197266,0.6638161540031433,0.3617321252822876,0.0,1,5.047941681678433,0.0,0.0,-1.0,0.0,4.047941681678433,
69,5.03787,0.29439,-0.00714653,0.334799,6351.88,0.225098,0.2311137467622757,0.0,0.04807060956954956,1,5.019739859941476,0.0,0.0,-1.0,0.0,4.019739859941476,
