step,speedX,speedY,angle,trackPos,distFromStart,distRaced,damage,steer,accel,brake,gear,r_speed,r_safety,r_ttc,r_smooth,r_time,r_terminal,reward_total,terminal_reason
0,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,1.0,0.0,1,0.0,0.0,0.0,-0.0,-1.0,0.0,-1.0,
1,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.9098663330078125,0.029185175895690918,0.0,1,0.0,0.0,0.0,-0.0901336669921875,-1.0,0.0,-1.0270401000976563,
2,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,1.0,0.0,1,0.0,0.0,0.0,-0.0901336669921875,-1.0,0.0,-1.0270401000976563,
3,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.2441784143447876,1.0,0.0,1,0.0,0.0,0.0,-0.7558215856552124,-1.0,0.0,-1.2267464756965638,
4,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.46814918518066406,0.6631567478179932,0.1824805736541748,1,0.0,0.0,0.0,-0.22397077083587646,-1.0,0.0,-1.067191231250763,
5,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.49657201766967773,1.0,0.0,1,0.0,0.0,0.0,-0.028422832489013672,-1.0,0.0,-1.0085268497467041,
6,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.03354835510253906,1.0,0.0,1,0.0,0.0,0.0,-0.5301203727722168,-1.0,0.0,-1.159036111831665,
7,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.7291975021362305,1.0,0.26635730266571045,1,0.0,0.0,0.0,-0.6956491470336914,-1.0,0.0,-1.2086947441101075,
8,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.16582989692687988,0.32416343688964844,0.596104085445404,1,0.0,0.0,0.0,-0.5633676052093506,-1.0,0.0,-1.1690102815628052,
9,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,1.0,0.0,1,0.0,0.0,0.0,-1.1658298969268799,-1.0,0.0,-1.349748969078064,
10,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.39860326051712036,1.0,0.0,1,0.0,0.0,0.0,-1.3986032605171204,-1.0,0.0,-1.419580978155136,
11,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.6354260444641113,1.0,0.0,1,0.0,0.0,0.0,-1.0340293049812317,-1.0,0.0,-1.3102087914943694,
12,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,1.0,0.0,1,0.0,0.0,0.0,-0.36457395553588867,-1.0,0.0,-1.1093721866607666,
13,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,1.0,0.0,1,0.0,0.0,0.0,-0.0,-1.0,0.0,-1.0,
14,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.8049328923225403,1.0,0.0,1,0.0,0.0,0.0,-0.19506710767745972,-1.0,0.0,-1.0585201323032378,
15,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,1.0,0.8401346802711487,0.0,1,0.0,0.0,0.0,-1.8049328923225403,-1.0,0.0,-1.541479867696762,
16,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.013503968715667725,1.0,0.0,1,0.0,0.0,0.0,-1.0135039687156677,-1.0,0.0,-1.3040511906147003,
17,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.5454424619674683,1.0,0.7022787928581238,1,0.0,0.0,0.0,-0.558946430683136,-1.0,0.0,-1.1676839292049408,
