step,speedX,speedY,angle,trackPos,distFromStart,distRaced,steer,accel,brake,gear,r_speed,r_safety,r_ttc,r_smooth,r_time,r_terminal,reward_total,terminal_reason
0,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.8850328922271729,0.8401567935943604,0.0,1,0.0,0.0,0.0,-0.0,-1.0,0.0,-1.0,
1,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-1.0,1.0,0.0,1,0.0,0.0,0.0,-1.8850328922271729,-1.0,0.0,-1.5655098676681518,
2,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.2735086679458618,1.0,0.0,1,0.0,0.0,0.0,-1.2735086679458618,-1.0,0.0,-1.3820526003837585,
3,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.9055721759796143,0.0,0.0,1,0.0,0.0,0.0,-1.179080843925476,-1.0,0.0,-1.3537242531776428,
4,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,1.0,1.0,0.0,1,0.0,0.0,0.0,-1.9055721759796143,-1.0,0.0,-1.571671652793884,
5,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,1.0,0.0,0.9270333647727966,1,0.0,0.0,0.0,-0.0,-1.0,0.0,-1.0,
6,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.806768536567688,0.7283954620361328,0.36318862438201904,1,0.0,0.0,0.0,-0.193231463432312,-1.0,0.0,-1.0579694390296936,
7,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.3207124173641205,1.0,0.0,1,0.0,0.0,0.0,-1.1274809539318085,-1.0,0.0,-1.3382442861795425,
8,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,1.0,0.31993627548217773,1.0,1,0.0,0.0,0.0,-1.3207124173641205,-1.0,0.0,-1.3962137252092361,
9,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.16341982781887054,0.0,0.2908124029636383,1,0.0,0.0,0.0,-1.1634198278188705,-1.0,0.0,-1.3490259483456613,
10,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-1.0,0.21628934144973755,0.0,1,0.0,0.0,0.0,-0.8365801721811295,-1.0,0.0,-1.2509740516543388,
11,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.1624612957239151,1.0,0.0,1,0.0,0.0,0.0,-0.8375387042760849,-1.0,0.0,-1.2512616112828254,
12,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.892155647277832,0.0,1.0,1,0.0,0.0,0.0,-1.0546169430017471,-1.0,0.0,-1.3163850829005241,
