step,speedX,speedY,angle,trackPos,distFromStart,distRaced,damage,steer,accel,brake,gear,r_speed,r_safety,r_ttc,r_smooth,r_time,r_terminal,reward_total,terminal_reason
28,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.3265534043312073,1.0,0.0,1,0.0,0.0,0.0,-0.6734465956687927,-1.0,0.0,-1.2020339787006378,
29,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,0.6420649290084839,0.0,1,0.0,0.0,0.0,-0.6734465956687927,-1.0,0.0,-1.2020339787006378,
30,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,1.0,0.0,1,0.0,0.0,0.0,-0.0,-1.0,0.0,-1.0,
31,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,0.6177487373352051,0.11616414785385132,1,0.0,0.0,0.0,-0.0,-1.0,0.0,-1.0,
32,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.7348597049713135,1.0,0.0,1,0.0,0.0,0.0,-1.7348597049713135,-1.0,0.0,-1.5204579114913939,
33,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.20751574635505676,1.0,0.7606086134910583,1,0.0,0.0,0.0,-0.9423754513263702,-1.0,0.0,-1.282712635397911,
34,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.6539348363876343,0.8673990964889526,0.3615199327468872,1,0.0,0.0,0.0,-0.861450582742691,-1.0,0.0,-1.2584351748228073,
35,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.22635668516159058,1.0,0.0,1,0.0,0.0,0.0,-0.4275781512260437,-1.0,0.0,-1.1282734453678132,
36,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.07603025436401367,1.0,0.0,1,0.0,0.0,0.0,-0.30238693952560425,-1.0,0.0,-1.0907160818576813,
37,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.9370487928390503,1.0,0.0,1,0.0,0.0,0.0,-0.8610185384750366,-1.0,0.0,-1.258305561542511,
38,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,1.0,0.0,1,0.0,0.0,0.0,-0.06295120716094971,-1.0,0.0,-1.018885362148285,
39,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.1485622525215149,1.0,0.0,1,0.0,0.0,0.0,-0.8514377474784851,-1.0,0.0,-1.2554313242435455,
40,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.13363438844680786,1.0,0.0,1,0.0,0.0,0.0,-0.28219664096832275,-1.0,0.0,-1.0846589922904968,
41,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.8387945890426636,1.0,0.08485805988311768,1,0.0,0.0,0.0,-0.7051602005958557,-1.0,0.0,-1.2115480601787567,
42,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.46539148688316345,1.0,0.0,1,0.0,0.0,0.0,-1.304186075925827,-1.0,0.0,-1.391255822777748,
43,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.15850800275802612,1.0,0.0,1,0.0,0.0,0.0,-0.30688348412513733,-1.0,0.0,-1.092065045237541,
44,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,1.0,0.11135205626487732,1,0.0,0.0,0.0,-0.8414919972419739,-1.0,0.0,-1.252447599172592,
45,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.8508811593055725,1.0,0.8829923868179321,1,0.0,0.0,0.0,-0.1491188406944275,-1.0,0.0,-1.0447356522083282,
46,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,1.0,0.0,1,0.0,0.0,0.0,-0.1491188406944275,-1.0,0.0,-1.0447356522083282,
47,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.8973164558410645,1.0,0.22923940420150757,1,0.0,0.0,0.0,-1.8973164558410645,-1.0,0.0,-1.5691949367523192,
48,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,1.0,0.0,1,0.0,0.0,0.0,-1.8973164558410645,-1.0,0.0,-1.5691949367523192,
49,0.0756183,-0.00588726,-9.41118e-05,0.333334,6351.65,0.000488281,0.0,-0.041978299617767334,1.0,0.3287007212638855,1,0.07561474137796548,0.0,0.0,-0.9580217003822327,-1.0,0.0,-1.2117917687367044,
50,-0.0487096,-0.00666305,-0.000213321,0.333334,6351.65,0.000488281,0.0,-0.5358197689056396,1.0,0.0,1,-0.04870440350146276,0.0,0.0,-0.4938414692878723,-1.0,0.0,-1.1968568442878245,
51,0.213215,-0.0136815,-0.000208076,0.333334,6351.65,0.000488281,0.0,-0.5453487634658813,1.0,0.0,1,0.21319281292235207,0.0,0.0,-0.0095289945602417,-1.0,0.0,-0.7896658854457205,
52,0.651554,-0.0250611,-2.92619e-05,0.333334,6351.65,0.00244141,0.0,-1.0,1.0,0.0,1,0.6515444668670556,0.0,0.0,-0.45465123653411865,-1.0,0.0,-0.48485090409318,
53,1.65381,-0.109995,0.000654046,0.333233,6351.66,0.00927734,0.0,0.35717064142227173,1.0,0.0,1,1.653268812400688,0.0,0.0,-1.3571706414222717,-1.0,0.0,0.2461176199740065,
54,2.53761,-0.264775,0.00162346,0.33307,6351.67,0.0209961,0.0,-0.8772415518760681,1.0,0.0,1,2.535546802649424,0.0,0.0,-1.2344121932983398,-1.0,0.0,1.165223144659922,
55,3.4575,-0.305749,0.00295669,0.332765,6351.69,0.0380859,0.0,-0.10610154271125793,1.0,0.0,1,3.4523735168610594,0.0,0.0,-0.7711400091648102,-1.0,0.0,2.2210315141116164,
56,3.775,-0.153026,0.00371915,0.332531,6351.71,0.0585938,0.0,0.19387102127075195,1.0,0.2668694257736206,1,3.767954012543558,0.0,0.0,-0.2999725639820099,-1.0,0.0,2.677962243348955,
57,4.32605,-0.113316,0.00418979,0.332429,6351.73,0.0810547,0.0,-0.1773691624403,1.0,0.0,1,4.316949435578686,0.0,0.0,-0.37124018371105194,-1.0,0.0,3.20557738046537,
58,5.19964,0.0447582,0.0041588,0.332368,6351.76,0.10791,0.0,0.8609216213226318,1.0,0.0,1,5.18878293432373,0.0,0.0,-1.0382907837629318,-1.0,0.0,3.8772956991948506,
59,5.96535,0.36552,0.00297577,0.332541,6351.79,0.13916,0.0,0.49208250641822815,1.0,0.0,1,5.95644784612936,0.0,0.0,-0.3688391149044037,-1.0,0.0,4.845796111658039,
