step,speedX,speedY,angle,trackPos,distFromStart,distRaced,steer,accel,brake,gear,r_speed,r_safety,r_ttc,r_time,r_terminal,reward_total,terminal_reason
39,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.7147401571273804,1.0,0.5765603184700012,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
40,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.35368478298187256,0.0,0.0,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
41,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-1.0,0.20086196064949036,0.00477328896522522,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
42,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.5113469362258911,0.0,0.0,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
43,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,1.0,1.0,0.10310353338718414,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
44,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.27949488162994385,0.39799514412879944,0.0,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
45,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.5324700474739075,0.25414809584617615,0.15944838523864746,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
46,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,1.0,0.7343894839286804,0.0,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
47,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.7318256497383118,0.04262213408946991,0.0,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
48,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.697685718536377,0.465570867061615,1.0,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
49,0.0561278,-0.00375128,8.88506e-06,0.333334,6351.65,0.0,-0.8914707899093628,0.0,0.0,1,0.056127550648349185,0.0,0.0,-1.0,0.0,-0.9438724493516508,
50,-0.118119,-0.00190625,-2.08219e-06,0.333334,6351.65,-0.000488281,0.6485493779182434,1.0,0.0,1,-0.11811887702664366,0.0,0.0,-1.0,0.0,-1.1181188770266437,
51,0.0377534,-0.0218694,3.01992e-07,0.333334,6351.65,0.0,-0.17261439561843872,1.0,0.0,1,0.037753394299385894,0.0,0.0,-1.0,0.0,-0.9622466057006142,
52,0.0509164,-0.00590063,2.60512e-05,0.333334,6351.65,0.0,-0.9794849753379822,0.0,0.0,1,0.05091573676606265,0.0,0.0,-1.0,0.0,-0.9490842632339374,
