step,speedX,speedY,angle,trackPos,distFromStart,distRaced,damage,steer,accel,brake,gear,r_speed,r_safety,r_ttc,r_smooth,r_time,r_terminal,reward_total,terminal_reason
28,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.14692562818527222,1.0,0.0,1,0.0,0.0,0.0,-0.5993497371673584,-1.0,0.0,-1.1798049211502075,
29,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,1.0,0.0,1,0.0,0.0,0.0,-1.1469256281852722,-1.0,0.0,-1.3440776884555816,
30,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,1.0,0.0,1,0.0,0.0,0.0,-0.0,-1.0,0.0,-1.0,
31,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.11140835285186768,1.0,1.0,1,0.0,0.0,0.0,-1.1114083528518677,-1.0,0.0,-1.3334225058555602,
32,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,1.0,0.09444230794906616,1,0.0,0.0,0.0,-1.1114083528518677,-1.0,0.0,-1.3334225058555602,
33,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.6126514673233032,1.0,0.878797173500061,1,0.0,0.0,0.0,-0.3873485326766968,-1.0,0.0,-1.116204559803009,
34,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.2999570965766907,1.0,0.0,1,0.0,0.0,0.0,-0.31269437074661255,-1.0,0.0,-1.0938083112239838,
35,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.5717365741729736,1.0,0.0,1,0.0,0.0,0.0,-0.27177947759628296,-1.0,0.0,-1.0815338432788848,
36,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,0.1815493106842041,0.0,1,0.0,0.0,0.0,-0.42826342582702637,-1.0,0.0,-1.1284790277481078,
37,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,0.7137519717216492,0.34637928009033203,1,0.0,0.0,0.0,-0.0,-1.0,0.0,-1.0,
38,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,1.0,0.0,1,0.0,0.0,0.0,-0.0,-1.0,0.0,-1.0,
39,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,1.0,0.0,1,0.0,0.0,0.0,-0.0,-1.0,0.0,-1.0,
40,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.7091831564903259,1.0,0.08731779456138611,1,0.0,0.0,0.0,-0.2908168435096741,-1.0,0.0,-1.0872450530529023,
41,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.7249878644943237,1.0,0.0797986090183258,1,0.0,0.0,0.0,-0.015804708003997803,-1.0,0.0,-1.0047414124011993,
42,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,0.31490910053253174,0.5142520666122437,1,0.0,0.0,0.0,-0.27501213550567627,-1.0,0.0,-1.0825036406517028,
43,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,0.5801609754562378,0.0,1,0.0,0.0,0.0,-0.0,-1.0,0.0,-1.0,
44,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.4263039827346802,1.0,0.760003924369812,1,0.0,0.0,0.0,-1.4263039827346802,-1.0,0.0,-1.427891194820404,
45,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.9966394305229187,1.0,0.0,1,0.0,0.0,0.0,-1.4229434132575989,-1.0,0.0,-1.4268830239772796,
46,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,1.0,0.0,1,0.0,0.0,0.0,-0.003360569477081299,-1.0,0.0,-1.0010081708431244,
47,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,1.0,0.0,1,0.0,0.0,0.0,-0.0,-1.0,0.0,-1.0,
48,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,1.0,0.6795481443405151,1,0.0,0.0,0.0,-0.0,-1.0,0.0,-1.0,
49,0.191866,-0.00111458,-5.40574e-05,0.333334,6351.65,0.000488281,0.0,-1.0,1.0,0.0,1,0.1918608138311127,0.0,0.0,-0.0,-1.0,0.0,-0.8081391861688874,
50,0.165506,-0.0289952,7.89801e-05,0.333334,6351.65,0.00146484,0.0,1.0,1.0,0.0,1,0.16549946364359017,0.0,0.0,-2.0,-1.0,0.0,-1.4345005363564098,
51,0.187513,-0.0110476,0.00016195,0.333334,6351.65,0.00244141,0.0,-1.0,1.0,0.0,1,0.18749781367586443,0.0,0.0,-2.0,-1.0,0.0,-1.4125021863241356,
52,0.967147,-0.108803,0.000404183,0.333263,6351.66,0.00585938,0.0,1.0,1.0,0.0,1,0.9669514688189205,0.0,0.0,-2.0,-1.0,0.0,-0.6330485311810795,
53,1.78986,-0.245736,0.00112802,0.333131,6351.67,0.0136719,0.0,-1.0,1.0,0.0,1,1.788849362540614,0.0,0.0,-2.0,-1.0,0.0,0.18884936254061424,
54,2.63696,-0.263516,0.00216276,0.332856,6351.68,0.0263672,0.0,-0.44506850838661194,1.0,0.0,1,2.634102279189811,0.0,0.0,-0.5549314916133881,-1.0,0.0,1.4676228317057949,
55,3.52444,-0.445851,0.00378067,0.332521,6351.69,0.043457,0.0,-1.0,1.0,0.0,1,3.5177524553829533,0.0,0.0,-0.5549314916133881,-1.0,0.0,2.351273007898937,
56,4.40215,-0.631768,0.00623876,0.331992,6351.72,0.0654297,0.0,-1.0,1.0,0.0,1,4.388332440171106,0.0,0.0,-0.0,-1.0,0.0,3.388332440171106,
57,5.32378,-0.59153,0.00878078,0.331381,6351.74,0.0927734,0.0,-0.014461696147918701,1.0,0.0,1,5.300201593898521,0.0,0.0,-0.9855383038520813,-1.0,0.0,4.004540102742896,
58,6.24436,-0.400786,0.0105618,0.330883,6351.78,0.125,0.0,-0.3199806809425354,1.0,0.0,1,6.211036491360388,0.0,0.0,-0.3055189847946167,-1.0,0.0,5.119380795922003,
59,6.9514,-0.578691,0.0124958,0.330395,6351.81,0.161621,0.0,-1.0,1.0,0.0,1,6.907426772027837,0.0,0.0,-0.6800193190574646,-1.0,0.0,5.703420976310598,
60,7.82436,-0.615302,0.0153487,0.329662,6351.86,0.207031,0.0,-0.5261996388435364,1.0,0.0,1,7.763393857062578,0.0,0.0,-0.4738003611564636,-1.0,0.0,6.621253748715639,
61,8.73666,-0.423483,0.017289,0.329042,6351.9,0.253418,0.0,0.25524765253067017,1.0,0.0,1,8.659834002146939,0.0,0.0,-0.7814472913742065,-1.0,0.0,7.425399814734677,
62,9.53706,-0.587333,0.0192011,0.328462,6351.96,0.304199,0.0,-1.0,1.0,0.0,1,9.44374658635288,0.0,0.0,-1.2552476525306702,-1.0,0.0,8.067172290593678,
63,10.2631,-1.02028,0.0234955,0.327516,6352.01,0.359375,0.0,-1.0,1.0,0.0,1,10.139710076777023,0.0,0.0,-0.0,-1.0,0.0,9.139710076777023,
64,11.0912,-1.03021,0.0285328,0.326255,6352.07,0.418945,0.0,0.002262890338897705,1.0,0.0,1,10.928475492038341,0.0,0.0,-1.0022628903388977,-1.0,0.0,9.627796624936671,
65,11.9635,-0.643867,0.0312036,0.325166,6352.13,0.48291,0.0,0.1618194878101349,1.0,0.0,1,11.771054407672837,0.0,0.0,-0.15955659747123718,-1.0,0.0,10.723187428431466,
66,12.7608,-0.649546,0.0334371,0.32422,6352.2,0.551758,0.0,-0.33996492624282837,1.0,0.0,1,12.54036480347057,0.0,0.0,-0.5017844140529633,-1.0,0.0,11.389829479254681,
67,13.5117,-0.978438,0.0374516,0.323061,6352.28,0.624512,0.0,-1.0,1.0,0.0,1,13.249266953354878,0.0,0.0,-0.6600350737571716,-1.0,0.0,12.051256431227726,
68,14.1686,-1.48365,0.0441898,0.321382,6352.35,0.701172,0.0,-0.8706897497177124,1.0,0.0,1,13.841816541459721,0.0,0.0,-0.1293102502822876,-1.0,0.0,12.803023466375034,
69,15.0092,-1.42029,0.0511459,0.319348,6352.43,0.782227,0.0,-0.23200231790542603,1.0,0.0,1,14.605910773232994,0.0,0.0,-0.6386874318122864,-1.0,0.0,13.414304543689308,
70,15.9026,-0.940095,0.055209,0.317507,6352.52,0.867676,0.0,0.38297340273857117,1.0,0.0,1,15.439609975443375,0.0,0.0,-0.6149757206439972,-1.0,0.0,14.255117259250175,
71,16.7037,-0.962107,0.0585054,0.315838,6352.61,0.958008,0.0,-1.0,1.0,0.0,1,16.186771137880687,0.0,0.0,-1.3829734027385712,-1.0,0.0,14.771879117059115,
72,17.5576,-1.09679,0.064041,0.313712,6352.71,1.0625,0.0,-0.44109272956848145,1.0,0.0,1,16.95978933239133,0.0,0.0,-0.5589072704315186,-1.0,0.0,15.792117151261877,
73,18.1314,-1.45472,0.0700067,0.311444,6352.81,1.16113,0.0,-1.0,0.7121433019638062,0.0,1,17.45284624637175,0.0,0.0,-0.5589072704315186,-1.0,0.0,16.285174065242295,
74,18.2357,-1.52502,0.077175,0.308738,6352.91,1.26172,0.0,0.8831311464309692,0.03782963752746582,0.0,1,17.47844943618688,0.0,0.0,-1.8831311464309692,-1.0,0.0,15.913510092257592,
75,18.914,-0.953088,0.0811675,0.306256,6353.02,1.36377,0.0,1.0,1.0,0.0,1,18.084971462063827,0.0,0.0,-0.11686885356903076,-1.0,0.0,17.049910805993118,
76,19.717,-0.278323,0.0810965,0.304242,6353.12,1.4707,0.0,0.591149628162384,1.0,0.0,1,18.853585890568418,0.0,0.0,-0.40885037183761597,-1.0,0.0,17.730930779017132,
77,20.437,0.291317,0.0782951,0.302818,6353.23,1.58203,0.0,0.22271409630775452,1.0,0.0,1,19.575150013976682,0.0,0.0,-0.3684355318546295,-1.0,0.0,18.464619354420293,
78,20.5117,0.914043,0.0741971,0.301923,6353.35,1.69629,0.0,1.0,0.4450281858444214,0.0,2,19.69500897515074,0.0,0.0,-0.7772859036922455,-1.0,0.0,18.461823204043064,
79,20.3769,1.6285,0.0670555,0.30178,6353.46,1.81006,0.0,0.8180209994316101,0.9287494421005249,0.0,2,19.648425672595923,0.0,0.0,-0.1819790005683899,-1.0,0.0,18.593831972425406,
80,20.3893,1.76146,0.0583933,0.302259,6353.57,1.92334,0.0,0.2652232050895691,1.0,0.0,2,19.75958738106812,0.0,0.0,-0.552797794342041,-1.0,0.0,18.593748042765508,
81,21.0609,1.14339,0.0534785,0.302513,6353.69,2.03857,0.0,0.12957747280597687,1.0,0.0,2,20.46790633959267,0.0,0.0,-0.13564573228359222,-1.0,0.0,19.427212619907593,
82,21.6663,0.334531,0.0526422,0.302116,6353.81,2.15771,0.0,-0.30055809020996094,1.0,0.0,2,21.06626860207678,0.0,0.0,-0.4301355630159378,-1.0,0.0,19.937227933171997,
83,22.2686,-0.319439,0.0549176,0.300977,6353.93,2.27979,0.0,-0.23021335899829865,1.0,0.0,2,21.623866306309278,0.0,0.0,-0.07034473121166229,-1.0,0.0,20.60276288694578,
84,22.6899,-0.171898,0.0564869,0.299512,6354.06,2.40479,0.0,1.0,0.5287315845489502,0.0,2,22.013210185112552,0.0,0.0,-1.2302133589982986,-1.0,0.0,20.644146177413063,
85,23.2106,0.436692,0.0544084,0.298465,6354.18,2.53223,0.0,1.0,1.0,0.02310311794281006,2,22.54513928800947,0.0,0.0,-0.0,-1.0,0.0,21.54513928800947,
86,23.7472,1.06498,0.0490912,0.298058,6354.31,2.6626,0.0,0.6923041939735413,1.0,0.0,2,23.135935833764066,0.0,0.0,-0.30769580602645874,-1.0,0.0,22.04362709195613,
87,23.8044,1.53129,0.0417998,0.298302,6354.45,2.79541,0.0,1.0,1.0,0.2033172845840454,2,23.28624251131276,0.0,0.0,-0.30769580602645874,-1.0,0.0,22.193933769504824,
88,23.989,1.90549,0.0332153,0.299065,6354.58,2.92822,0.0,0.6942352056503296,1.0,0.0,2,23.577440547117412,0.0,0.0,-0.3057647943496704,-1.0,0.0,22.48571110881251,
89,24.6635,1.73425,0.024278,0.300154,6354.71,3.06348,0.0,-1.0,1.0,0.0,2,24.3568709448913,0.0,0.0,-1.6942352056503296,-1.0,0.0,22.8486003831962,
90,25.3215,1.05171,0.019677,0.300927,6354.85,3.20264,0.0,0.002292811870574951,1.0,0.0,2,25.067488612362848,0.0,0.0,-1.002292811870575,-1.0,0.0,23.766800768801676,
91,25.9453,0.261088,0.0194038,0.301039,6355.0,3.34521,0.0,-0.4234921932220459,1.0,0.0,2,25.68871294311135,0.0,0.0,-0.42578500509262085,-1.0,0.0,24.560977441583564,
92,26.5917,-0.123364,0.0216563,0.30051,6355.14,3.49121,0.0,0.6645997762680054,1.0,0.0,2,26.297548142269502,0.0,0.0,-1.0880919694900513,-1.0,0.0,24.971120551422487,
93,27.2533,-0.429006,0.0235646,0.299727,6355.29,3.64111,0.0,-0.6114400029182434,1.0,0.0,2,26.924656763056785,0.0,0.0,-1.2760397791862488,-1.0,0.0,25.54184482930091,
94,27.916,-0.470101,0.0267814,0.298577,6355.45,3.79443,0.0,0.383444607257843,1.0,0.0,2,27.53221921840907,0.0,0.0,-0.9948846101760864,-1.0,0.0,26.233753835356246,
95,28.5756,-0.594547,0.0288942,0.297408,6355.6,3.95117,0.0,-0.29475584626197815,1.0,0.0,2,28.150895196837855,0.0,0.0,-0.6782004535198212,-1.0,0.0,26.94743506078191,
96,29.2173,-0.8244,0.0330932,0.295837,0.104675,4.10449,0.0,-0.24754497408866882,1.0,0.0,2,28.71794391352301,0.0,0.0,-0.047210872173309326,-1.0,0.0,27.703780651871014,
97,29.9737,-0.446493,0.0360771,0.294108,0.285492,4.28531,0.0,0.060436129570007324,1.0,0.0,2,29.413631068263587,0.0,0.0,-0.30798110365867615,-1.0,0.0,28.321236737165986,
98,30.6326,-0.501002,0.0372623,0.292735,0.453857,4.45367,0.0,-1.0,1.0,0.0,2,30.04074759721141,0.0,0.0,-1.0604361295700073,-1.0,0.0,28.722616758340408,
99,31.2959,-0.416937,0.0399824,0.291138,0.625763,4.62558,0.0,0.6633868217468262,1.0,0.0,2,30.645412721484252,0.0,0.0,-1.6633868217468262,-1.0,0.0,29.146396674960204,
100,31.9344,0.179367,0.0388217,0.289876,0.801453,4.80127,0.0,1.0,1.0,0.0,2,31.290620310157077,0.0,0.0,-0.33661317825317383,-1.0,0.0,30.189636356681124,
101,32.5609,0.475495,0.0348794,0.289174,0.980652,4.98047,0.0,-0.22651711106300354,1.0,0.0,2,31.973358463618712,0.0,0.0,-1.2265171110630035,-1.0,0.0,30.60540333029981,
102,33.2463,0.141089,0.033841,0.288391,1.1636,5.16342,0.0,-0.03356310725212097,1.0,0.0,2,32.664828111417954,0.0,0.0,-0.19295400381088257,-1.0,0.0,31.606941910274692,
103,33.9024,0.402956,0.0326661,0.287557,1.35028,5.3501,0.0,0.9765934944152832,1.0,0.0,2,33.33068230093772,0.0,0.0,-1.0101566016674042,-1.0,0.0,32.0276353204375,
104,34.4814,0.945134,0.0275324,0.287231,1.54047,5.54028,0.0,0.8924702405929565,1.0,0.0,2,33.99371392443721,0.0,0.0,-0.08412325382232666,-1.0,0.0,32.96847694829051,
