step,speedX,speedY,angle,trackPos,distFromStart,distRaced,damage,steer,accel,brake,gear,r_speed,r_safety,r_ttc,r_smooth,r_anticipation,r_time,r_terminal,reward_total,terminal_reason
26,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.8583172559738159,1.0,0.0,1,0.0,0.0,0.0,-1.858317255973816,-0.0,-1.0,0.0,-1.5574951767921448,
27,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,1.0,0.03367069363594055,0.19953389465808868,1,0.0,0.0,0.0,-1.858317255973816,-0.0,-1.0,0.0,-1.5574951767921448,
28,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.5724243521690369,0.8688949942588806,0.0,1,0.0,0.0,0.0,-1.5724243521690369,-0.0,-1.0,0.0,-1.471727305650711,
29,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.8858349323272705,0.5536417365074158,1.0,1,0.0,0.0,0.0,-1.4582592844963074,-0.0,-1.0,0.0,-1.4374777853488923,
30,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.46585679054260254,0.8120750188827515,0.0,1,0.0,0.0,0.0,-0.41997814178466797,-0.0,-1.0,0.0,-1.1259934425354003,
31,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.7313060760498047,0.0,0.0,1,0.0,0.0,0.0,-0.26544928550720215,-0.0,-1.0,0.0,-1.0796347856521606,
32,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.2000456005334854,0.8108602166175842,0.0,1,0.0,0.0,0.0,-0.9313516765832901,-0.0,-1.0,0.0,-1.2794055029749871,
33,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.9012860059738159,0.4384154677391052,0.4708884060382843,1,0.0,0.0,0.0,-0.7012404054403305,-0.0,-1.0,0.0,-1.210372121632099,
34,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,1.0,0.20592905580997467,0.8492738604545593,1,0.0,0.0,0.0,-1.901286005973816,-0.0,-1.0,0.0,-1.5703858017921446,
35,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.16504916548728943,0.0,0.5139670372009277,1,0.0,0.0,0.0,-0.8349508345127106,-0.0,-1.0,0.0,-1.250485250353813,
36,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,0.7219343781471252,0.8668074011802673,1,0.0,0.0,0.0,-1.1650491654872894,-0.0,-1.0,0.0,-1.3495147496461868,
37,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.34267160296440125,0.0,0.0,1,0.0,0.0,0.0,-0.6573283970355988,-0.0,-1.0,0.0,-1.1971985191106795,
38,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.865338921546936,1.0,0.0,1,0.0,0.0,0.0,-1.2080105245113373,-0.0,-1.0,0.0,-1.3624031573534012,
39,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,1.0,0.0,0.9018813371658325,1,0.0,0.0,0.0,-0.13466107845306396,-0.0,-1.0,0.0,-1.040398323535919,
40,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.11182311922311783,0.5604802370071411,0.0,1,0.0,0.0,0.0,-0.8881768807768822,-0.0,-1.0,0.0,-1.2664530642330647,
41,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,1.0,0.0,1,0.0,0.0,0.0,-1.1118231192231178,-0.0,-1.0,0.0,-1.3335469357669354,
42,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.7033330202102661,1.0,1.0,1,0.0,0.0,0.0,-1.7033330202102661,-0.0,-1.0,0.0,-1.5109999060630797,
43,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.6096208691596985,1.0,0.0,1,0.0,0.0,0.0,-0.09371215105056763,-0.0,-1.0,0.0,-1.0281136453151702,
44,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,1.0,1.0,0.0,1,0.0,0.0,0.0,-0.3903791308403015,-0.0,-1.0,0.0,-1.1171137392520905,
45,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.3447190523147583,0.12179842591285706,0.0,1,0.0,0.0,0.0,-0.6552809476852417,-0.0,-1.0,0.0,-1.1965842843055725,
46,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.9195682406425476,0.0,0.44561296701431274,1,0.0,0.0,0.0,-1.264287292957306,-0.0,-1.0,0.0,-1.3792861878871918,
47,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.381694495677948,0.0,1.0,1,0.0,0.0,0.0,-1.3012627363204956,-0.0,-1.0,0.0,-1.3903788208961487,
48,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.7273219227790833,0.0,0.04879593849182129,1,0.0,0.0,0.0,-0.34562742710113525,-0.0,-1.0,0.0,-1.1036882281303406,
49,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.38518139719963074,0.0,0.6172736883163452,1,0.0,0.0,0.0,-1.112503319978714,-0.0,-1.0,0.0,-1.3337509959936142,
50,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.3500850796699524,1.0,0.0,1,0.0,0.0,0.0,-0.035096317529678345,-0.0,-1.0,0.0,-1.0105288952589035,
51,0.0894893,-0.00304396,4.59353e-06,0.333334,6351.65,0.0,0.0,-0.08476221561431885,0.0,0.0,1,0.08948909446316375,0.0,0.0,-0.26532286405563354,-0.0,-1.0,0.0,-0.9901077647535264,
52,0.275746,0.0217916,-3.45071e-05,0.333334,6351.65,0.000976563,0.0,0.17037221789360046,0.4787377715110779,0.0,1,0.2757412422384317,0.0,0.0,-0.2551344335079193,-0.0,-1.0,0.0,-0.800799087813944,
53,0.426525,-0.0150161,-4.94322e-06,0.333334,6351.65,0.00341797,0.0,-0.1885160207748413,0.0,0.0,1,0.42652394579133357,0.0,0.0,-0.3588882386684418,-0.0,-1.0,0.0,-0.681142525809199,
54,1.30742,0.0218932,-5.31038e-05,0.333334,6351.66,0.00830078,0.0,1.0,1.0,0.0,1,1.3073852836714472,0.0,0.0,-1.1885160207748413,-0.0,-1.0,0.0,-0.04916952256100515,
55,2.01041,0.145161,-0.000367816,0.333406,6351.67,0.0180664,0.0,1.0,1.0,0.0,1,2.010040133533271,0.0,0.0,-0.0,-0.0,-1.0,0.0,1.0100401335332712,
56,1.7739,0.110123,-0.000860389,0.333507,6351.68,0.0283203,0.0,0.4343407154083252,0.08121764659881592,0.14544528722763062,1,1.7731362214888484,0.0,0.0,-0.5656592845916748,-0.0,-1.0,0.0,0.6034384361113461,
57,2.40483,0.0600334,-0.00120514,0.333609,6351.69,0.0395508,0.0,-0.9917464256286621,1.0,0.0,1,2.403379175595517,0.0,0.0,-1.4260871410369873,-0.0,-1.0,0.0,0.9755530332844207,
58,2.56365,0.160887,-0.00167578,0.333711,6351.71,0.0541992,0.0,0.8110291957855225,0.0,0.0,1,2.561498344637264,0.0,0.0,-1.8027756214141846,-0.0,-1.0,0.0,1.0206656582130087,
59,2.66674,0.288396,-0.00271529,0.333924,6351.72,0.0688477,0.0,1.0,0.0,0.0,1,2.6631096875575433,0.0,0.0,-0.18897080421447754,-0.0,-1.0,0.0,1.6064184462931999,
