step,speedX,speedY,angle,trackPos,distFromStart,distRaced,steer,accel,brake,gear,r_speed,r_safety,r_ttc,r_smooth,r_time,r_terminal,reward_total,terminal_reason
28,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.37283504009246826,0.8778634667396545,1.0,1,0.0,0.0,0.0,-0.557451993227005,-1.0,0.0,-1.1672355979681015,
29,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.6343672275543213,1.0,0.5337614417076111,1,0.0,0.0,0.0,-0.261532187461853,-1.0,0.0,-1.078459656238556,
30,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,1.0,0.1630573272705078,1.0,1,0.0,0.0,0.0,-1.6343672275543213,-1.0,0.0,-1.4903101682662965,
31,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.6072768568992615,0.05793118476867676,0.0,1,0.0,0.0,0.0,-0.3927231431007385,-1.0,0.0,-1.1178169429302216,
32,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.7043066024780273,1.0,0.0,1,0.0,0.0,0.0,-1.3115834593772888,-1.0,0.0,-1.3934750378131866,
33,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.40501514077186584,1.0,0.0,1,0.0,0.0,0.0,-0.2992914617061615,-1.0,0.0,-1.0897874385118484,
34,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-1.0,0.7018919587135315,0.0,1,0.0,0.0,0.0,-0.5949848592281342,-1.0,0.0,-1.1784954577684403,
35,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.13112659752368927,1.0,0.0,1,0.0,0.0,0.0,-0.8688734024763107,-1.0,0.0,-1.2606620207428931,
36,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.5595238208770752,1.0,0.5805405378341675,1,0.0,0.0,0.0,-0.4283972233533859,-1.0,0.0,-1.1285191670060157,
37,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.07411156594753265,1.0,0.0,1,0.0,0.0,0.0,-0.48541225492954254,-1.0,0.0,-1.1456236764788628,
38,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.5051101446151733,1.0,0.0,1,0.0,0.0,0.0,-0.579221710562706,-1.0,0.0,-1.1737665131688118,
