step,speedX,speedY,angle,trackPos,distFromStart,distRaced,damage,steer,accel,brake,gear,r_speed,r_safety,r_ttc,r_smooth,r_time,r_terminal,reward_total,terminal_reason
0,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,1.0,0.0,1,0.0,0.0,0.0,-0.0,-1.0,0.0,-1.0,
1,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,1.0,0.0,1,0.0,0.0,0.0,-0.0,-1.0,0.0,-1.0,
2,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,1.0,0.0,1,0.0,0.0,0.0,-0.0,-1.0,0.0,-1.0,
3,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.5612213015556335,1.0,0.18455839157104492,1,0.0,0.0,0.0,-0.43877869844436646,-1.0,0.0,-1.13163360953331,
4,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.27697497606277466,1.0,0.0,1,0.0,0.0,0.0,-0.2842463254928589,-1.0,0.0,-1.0852738976478578,
5,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.47828561067581177,1.0,0.0,1,0.0,0.0,0.0,-0.2013106346130371,-1.0,0.0,-1.0603931903839112,
6,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.24567967653274536,1.0,0.0,1,0.0,0.0,0.0,-0.7239652872085571,-1.0,0.0,-1.2171895861625672,
7,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.6875764727592468,1.0,0.0,1,0.0,0.0,0.0,-0.9332561492919922,-1.0,0.0,-1.2799768447875977,
8,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.21079576015472412,1.0,0.2339078187942505,1,0.0,0.0,0.0,-0.898372232913971,-1.0,0.0,-1.2695116698741913,
9,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.835121750831604,0.0,0.0,1,0.0,0.0,0.0,-1.0459175109863281,-1.0,0.0,-1.3137752532958984,
10,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.7215856313705444,1.0,0.0,1,0.0,0.0,0.0,-0.11353611946105957,-1.0,0.0,-1.0340608358383179,
