step,speedX,speedY,angle,trackPos,distFromStart,distRaced,damage,steer,accel,brake,gear,r_speed,r_safety,r_ttc,r_smooth,r_time,r_terminal,reward_total,terminal_reason
27,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.6473603844642639,0.78224778175354,0.0,1,0.0,0.0,0.0,-0.30438777804374695,-1.0,0.0,-1.0913163334131242,
28,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.20124194025993347,0.912150502204895,0.0,1,0.0,0.0,0.0,-0.44611844420433044,-1.0,0.0,-1.133835533261299,
29,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.786117434501648,1.0,0.0,1,0.0,0.0,0.0,-0.5848754942417145,-1.0,0.0,-1.1754626482725143,
30,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,1.0,0.0,1,0.0,0.0,0.0,-0.21388256549835205,-1.0,0.0,-1.0641647696495056,
31,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,1.0,0.45787322521209717,1,0.0,0.0,0.0,-0.0,-1.0,0.0,-1.0,
32,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.02578580379486084,0.4485522508621216,1.0,1,0.0,0.0,0.0,-0.9742141962051392,-1.0,0.0,-1.2922642588615418,
33,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.6709654927253723,1.0,0.0,1,0.0,0.0,0.0,-0.6451796889305115,-1.0,0.0,-1.1935539066791534,
34,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.01927340030670166,1.0,0.0,1,0.0,0.0,0.0,-0.690238893032074,-1.0,0.0,-1.2070716679096223,
35,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.5830447673797607,1.0,0.0,1,0.0,0.0,0.0,-0.6023181676864624,-1.0,0.0,-1.1806954503059388,
36,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.7458664178848267,1.0,0.0,1,0.0,0.0,0.0,-0.16282165050506592,-1.0,0.0,-1.0488464951515197,
37,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,1.0,0.0,1,0.0,0.0,0.0,-0.25413358211517334,-1.0,0.0,-1.076240074634552,
38,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,1.0,0.0,1,0.0,0.0,0.0,-0.0,-1.0,0.0,-1.0,
39,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,1.0,0.0,1,0.0,0.0,0.0,-0.0,-1.0,0.0,-1.0,
40,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.6214584112167358,1.0,0.0,1,0.0,0.0,0.0,-0.37854158878326416,-1.0,0.0,-1.1135624766349792,
41,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.7098473310470581,1.0,0.0,1,0.0,0.0,0.0,-0.08838891983032227,-1.0,0.0,-1.0265166759490967,
42,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,0.30688178539276123,0.0,1,0.0,0.0,0.0,-0.2901526689529419,-1.0,0.0,-1.0870458006858825,
43,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,1.0,0.0,1,0.0,0.0,0.0,-0.0,-1.0,0.0,-1.0,
44,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,1.0,0.0,1,0.0,0.0,0.0,-0.0,-1.0,0.0,-1.0,
45,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.04947704076766968,1.0,0.01443713903427124,1,0.0,0.0,0.0,-0.9505229592323303,-1.0,0.0,-1.285156887769699,
46,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.21562564373016357,1.0,0.0,1,0.0,0.0,0.0,-0.26510268449783325,-1.0,0.0,-1.07953080534935,
47,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.5992248058319092,0.973331093788147,0.0,1,0.0,0.0,0.0,-0.8148504495620728,-1.0,0.0,-1.244455134868622,
48,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.21495556831359863,1.0,0.2988407015800476,1,0.0,0.0,0.0,-0.8141803741455078,-1.0,0.0,-1.2442541122436523,
49,0.199079,-0.00349308,5.5472e-06,0.333334,6351.65,0.000488281,0.0,-1.0,1.0,0.0,1,0.19907844783142264,0.0,0.0,-1.2149555683135986,-1.0,0.0,-1.165408222662657,
50,0.176134,-0.0262488,8.99474e-05,0.333334,6351.65,0.00195313,0.0,-1.0,0.7386678457260132,0.0,1,0.1761260778898258,0.0,0.0,-0.0,-1.0,0.0,-0.8238739221101742,
51,0.195763,-0.00665301,0.000144784,0.333334,6351.65,0.00292969,0.0,0.008821606636047363,1.0,0.0,1,0.19574882627312168,0.0,0.0,-1.0088216066360474,-1.0,0.0,-1.1068976557176926,
52,0.97741,0.0011047,0.000150029,0.333334,6351.66,0.00585938,0.0,0.017064332962036133,1.0,0.0,1,0.9773366690777153,0.0,0.0,-0.00824272632598877,-1.0,0.0,-0.025136148820081305,
53,1.8786,-0.0489877,0.000284497,0.333334,6351.67,0.0141602,0.0,-1.0,1.0,0.0,1,1.8783326959459319,0.0,0.0,-1.0170643329620361,-1.0,0.0,0.5732133960573211,
