step,speedX,speedY,angle,trackPos,distFromStart,distRaced,steer,accel,brake,gear,r_speed,r_safety,r_ttc,r_time,r_terminal,reward_total,terminal_reason
39,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.5154290199279785,0.6059162616729736,0.0,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
40,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-1.0,1.0,0.0,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
41,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,1.0,1.0,0.0,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
42,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.5379621386528015,0.49278533458709717,0.4200465679168701,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
43,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.6916054487228394,0.7840104103088379,0.0,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
44,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-1.0,1.0,0.0,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
45,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.8723335266113281,1.0,0.0,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
46,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,1.0,1.0,0.0,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
47,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-1.0,1.0,0.0,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
48,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.19072964787483215,1.0,0.0,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
49,0.199329,0.000710792,-3.03587e-06,0.333334,6351.65,0.000488281,0.8472978472709656,1.0,0.0,1,0.19932869743061585,0.0,0.0,-1.0,0.0,-0.8006713025693841,
50,-0.0947359,-0.0389762,2.68618e-06,0.333334,6351.65,0.000976563,1.0,0.8905044794082642,0.4359424114227295,1,-0.09473577276081828,0.0,0.0,-1.0,0.0,-1.0947357727608182,
51,0.0284732,0.0147559,-6.121e-05,0.333334,6351.65,0.000488281,1.0,1.0,0.0,1,0.028472328524374785,0.0,0.0,-1.0,0.0,-0.9715276714756252,
52,0.17103,0.0225464,-0.000173744,0.333334,6351.65,0.000976563,0.4851793348789215,0.2185962200164795,0.0,1,0.17101513970047538,0.0,0.0,-1.0,0.0,-0.8289848602995247,
53,0.764643,0.0247873,-0.000115093,0.333355,6351.65,0.00341797,-0.14685817062854767,0.6285959482192993,0.0,1,0.7645989924073145,0.0,0.0,-1.0,0.0,-0.23540100759268545,
54,1.6177,0.0918712,-0.000427898,0.333416,6351.66,0.0102539,0.43516576290130615,1.0,0.0,1,1.6173537466154995,0.0,0.0,-1.0,0.0,0.6173537466154995,
55,2.45831,0.0556621,-0.000741657,0.333518,6351.67,0.0219727,-0.47782620787620544,0.9216914176940918,0.0,1,2.4573977125707853,0.0,0.0,-1.0,0.0,1.4573977125707853,
56,3.29857,-0.0978472,-0.000576671,0.333497,6351.69,0.0380859,-1.0,0.9447612166404724,0.0,1,3.2976183567536874,0.0,0.0,-1.0,0.0,2.2976183567536874,
57,4.19786,-0.00108996,-0.000374492,0.333436,6351.71,0.0595703,0.11796460300683975,1.0,0.0,1,4.197073673161936,0.0,0.0,-1.0,0.0,3.1970736731619356,
58,4.32076,-0.120949,-0.000179466,0.333406,6351.73,0.0830078,-0.8815863132476807,0.0,0.0,1,4.320372215663384,0.0,0.0,-1.0,0.0,3.320372215663384,
59,4.39446,-0.335076,0.00102359,0.333192,6351.76,0.106934,-0.939254879951477,0.17886918783187866,0.0,1,4.392208635619195,0.0,0.0,-1.0,0.0,3.3922086356191947,
60,5.08926,-0.261177,0.00232774,0.332867,6351.79,0.135742,1.0,1.0,0.0,1,5.083322980563298,0.0,0.0,-1.0,0.0,4.083322980563298,
61,5.99549,-0.147529,0.00243646,0.332694,6351.82,0.166992,-0.06570655852556229,0.9819852113723755,0.0,1,5.988168325826935,0.0,0.0,-1.0,0.0,4.988168325826935,
62,6.90046,0.0717525,0.00172168,0.332653,6351.85,0.203125,0.961600661277771,1.0,0.0,1,6.894509583841022,0.0,0.0,-1.0,0.0,5.894509583841022,
63,6.07804,0.142486,0.00079662,0.332755,6351.89,0.240234,-1.0,0.24105364084243774,0.8670308589935303,1,6.07561712757126,0.0,0.0,-1.0,0.0,5.07561712757126,
64,5.74765,0.0769294,0.000459019,0.332857,6351.92,0.272461,0.045562878251075745,0.9100040197372437,0.4426450729370117,1,5.746330254258208,0.0,0.0,-1.0,0.0,4.746330254258208,
65,6.08654,-0.116313,0.000880543,0.332857,6351.96,0.305176,-0.5342814922332764,0.9862028360366821,0.0,1,6.083857910633256,0.0,0.0,-1.0,0.0,5.083857910633256,
66,6.30605,-0.0471818,0.00155574,0.332745,6351.99,0.340332,0.3816656470298767,0.0,0.0,1,6.301137083515398,0.0,0.0,-1.0,0.0,5.301137083515398,
67,6.4147,-0.200419,0.00205499,0.332663,6352.03,0.375977,-0.980701208114624,0.19633328914642334,0.0,1,6.408095387879852,0.0,0.0,-1.0,0.0,5.408095387879852,
68,7.15258,-0.488112,0.00427801,0.332307,6352.07,0.414063,-0.9230688810348511,1.0,0.0,1,7.137215191378609,0.0,0.0,-1.0,0.0,6.137215191378609,
69,6.40824,-0.458119,0.00668556,0.331778,6352.1,0.452148,-1.0,0.46864810585975647,0.9671868085861206,1,6.386675609972595,0.0,0.0,-1.0,0.0,5.386675609972595,
70,6.47605,-0.690004,0.00910503,0.33128,6352.14,0.487305,-1.0,1.0,0.0,1,6.4462996570816715,0.0,0.0,-1.0,0.0,5.4462996570816715,
71,7.18586,-0.918969,0.0140832,0.330436,6352.18,0.525391,-1.0,0.532030463218689,0.0,1,7.134549123380929,0.0,0.0,-1.0,0.0,6.134549123380929,
72,8.13211,-0.894891,0.0185097,0.329327,6352.22,0.572266,-0.3357085585594177,1.0,0.0,1,8.055459811994155,0.0,0.0,-1.0,0.0,7.0554598119941545,
73,9.06897,-0.597975,0.0209687,0.328483,6352.27,0.620117,0.21111345291137695,0.8925907611846924,0.0,1,8.971901033713738,0.0,0.0,-1.0,0.0,7.971901033713738,
74,7.97443,-0.3925,0.0224651,0.327893,6352.32,0.667969,1.0,0.0,0.7375105619430542,1,7.882852164522186,0.0,0.0,-1.0,0.0,6.882852164522186,
75,7.62907,-0.235594,0.0235809,0.327445,6352.36,0.710449,-0.16928711533546448,0.04891175031661987,0.0,1,7.537007160012084,0.0,0.0,-1.0,0.0,6.537007160012084,
76,8.15338,-0.0363451,0.0234912,0.32717,6352.41,0.753906,0.06516338139772415,1.0,0.0,1,8.055372904725152,0.0,0.0,-1.0,0.0,7.055372904725152,
77,8.95292,0.227255,0.0217493,0.327069,6352.45,0.801758,0.5400334596633911,1.0,0.0,1,8.853450378480485,0.0,0.0,-1.0,0.0,7.853450378480485,
78,9.83545,0.169036,0.0195563,0.327099,6352.51,0.854492,0.16932228207588196,1.0,0.0,1,9.737402906216278,0.0,0.0,-1.0,0.0,8.737402906216278,
79,10.7674,0.2125,0.0180705,0.327099,6352.56,0.912109,0.1789054423570633,1.0,0.002282261848449707,1,10.668361182197676,0.0,0.0,-1.0,0.0,9.668361182197676,
80,11.7066,0.496287,0.0153788,0.327232,6352.63,0.974609,1.0,1.0,0.0,1,11.615202496185772,0.0,0.0,-1.0,0.0,10.615202496185772,
81,12.6867,0.444936,0.0118397,0.327557,6352.69,1.04297,-0.3365553319454193,1.0,0.0,1,12.610709202762756,0.0,0.0,-1.0,0.0,11.610709202762756,
82,11.9225,0.368779,0.0101751,0.327781,6352.76,1.1123,1.0,0.34611958265304565,1.0,1,11.861227553026575,0.0,0.0,-1.0,0.0,10.861227553026575,
83,11.4388,0.267185,0.00909835,0.327974,6352.83,1.17676,0.03553479537367821,1.0,0.7147724628448486,1,11.386290166435385,0.0,0.0,-1.0,0.0,10.386290166435385,
84,11.2363,0.198077,0.00834877,0.328076,6352.89,1.23926,-0.8491405248641968,1.0,0.32119548320770264,1,11.189004308918644,0.0,0.0,-1.0,0.0,10.189004308918644,
85,10.8605,0.192624,0.00773079,0.328147,6352.95,1.30029,1.0,0.0,0.0,1,10.818195757864963,0.0,0.0,-1.0,0.0,9.818195757864963,
86,11.4891,-0.034084,0.00765783,0.328178,6353.01,1.3623,-0.2031487077474594,1.0,0.0,1,11.444772770301514,0.0,0.0,-1.0,0.0,10.444772770301514,
87,12.2274,-0.47267,0.0106972,0.327852,6353.08,1.42822,-0.5976819396018982,0.7692819833755493,0.0,1,12.161302191073881,0.0,0.0,-1.0,0.0,11.161302191073881,
88,12.9581,-1.00085,0.0166739,0.326998,6353.15,1.49805,-0.8622816801071167,1.0,0.0,1,12.848272717025756,0.0,0.0,-1.0,0.0,11.848272717025756,
89,13.4116,-1.18843,0.0227345,0.325665,6353.22,1.57178,1.0,0.2463105320930481,0.0,1,13.255694328629836,0.0,0.0,-1.0,0.0,12.255694328629836,
90,14.1067,-0.733085,0.0258282,0.324475,6353.3,1.64795,0.07317833602428436,0.7768792510032654,0.0,1,13.919839920183454,0.0,0.0,-1.0,0.0,12.919839920183454,
91,14.1118,-0.800285,0.0286678,0.323499,6353.38,1.72656,-1.0,0.0,0.0,1,13.903752132332903,0.0,0.0,-1.0,0.0,12.903752132332903,
