step,speedX,speedY,angle,trackPos,distFromStart,distRaced,damage,steer,accel,brake,gear,r_speed,r_safety,r_smooth,r_anticipation,r_recovery,r_time,r_terminal,reward_total,terminal_reason
0,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.0,-0.0,0.0,-1.0,0.0,-1.0090773807625237,
1,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,0.26299700140953064,0.0,1,-0.009092603003111566,1.522224058775e-05,-2.0,-0.0,0.016671950000000102,-1.0,0.0,-1.5924054307625237,
2,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.6102441549301147,0.22562944889068604,0.0,1,-0.009092603003111566,1.522224058775e-05,-1.6102441549301147,-0.0,0.016671950000000102,-1.0,0.0,-1.475478677241558,
3,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,0.7491272687911987,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.38975584506988525,-0.0,0.016671950000000102,-1.0,0.0,-1.1093321842834893,
4,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.9555622339248657,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-1.9555622339248657,-0.0,0.016671950000000102,-1.0,0.0,-1.5790741009399833,
5,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.9047324061393738,0.11685338616371155,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.05082982778549194,-0.0,0.016671950000000102,-1.0,0.0,-1.0076543790981713,
6,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.6133196949958801,0.0,1.0,1,-0.009092603003111566,1.522224058775e-05,-0.29141271114349365,-0.0,0.016671950000000102,-1.0,0.0,-1.079829244105572,
7,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,0.8276702165603638,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.3866803050041199,-0.0,0.016671950000000102,-1.0,0.0,-1.1084095222637598,
8,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,0.8857731223106384,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.0,-0.0,0.016671950000000102,-1.0,0.0,-0.9924054307625237,
9,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.3117886185646057,0.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.6882113814353943,-0.0,0.016671950000000102,-1.0,0.0,-1.198868845193142,
10,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,0.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.6882113814353943,-0.0,0.016671950000000102,-1.0,0.0,-1.198868845193142,
11,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.24893039464950562,1,-0.009092603003111566,1.522224058775e-05,-2.0,-0.0,0.016671950000000102,-1.0,0.0,-1.5924054307625237,
12,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.5248079299926758,1,-0.009092603003111566,1.522224058775e-05,-0.0,-0.0,0.016671950000000102,-1.0,0.0,-0.9924054307625237,
13,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.7204707860946655,0.3527071177959442,1.0,1,-0.009092603003111566,1.522224058775e-05,-0.2795292139053345,-0.0,0.016671950000000102,-1.0,0.0,-1.076264194934124,
14,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.94024658203125,0.7152101993560791,0.0,1,-0.009092603003111566,1.522224058775e-05,-1.6607173681259155,-0.0,0.016671950000000102,-1.0,0.0,-1.4906206412002985,
15,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,1.0,1.0,1,-0.009092603003111566,1.522224058775e-05,-0.05975341796875,-0.0,0.016671950000000102,-1.0,0.0,-1.0103314561531487,
16,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.01527416706085205,0.0,0.36370110511779785,1,-0.009092603003111566,1.522224058775e-05,-1.015274167060852,-0.0,0.016671950000000102,-1.0,0.0,-1.2969876808807794,
17,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.02136509120464325,1.0,1.0,1,-0.009092603003111566,1.522224058775e-05,-0.006090924143791199,-0.0,0.016671950000000102,-1.0,0.0,-0.9942327080056611,
18,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,0.0,0.2339605689048767,1,-0.009092603003111566,1.522224058775e-05,-1.0213650912046432,-0.0,0.016671950000000102,-1.0,0.0,-1.2988149581239168,
19,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,0.0,1.0,1,-0.009092603003111566,1.522224058775e-05,-0.0,-0.0,0.016671950000000102,-1.0,0.0,-0.9924054307625237,
20,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.1663130670785904,0.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-1.1663130670785904,-0.0,0.016671950000000102,-1.0,0.0,-1.3422993508861008,
21,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.31635570526123047,1.0,0.05599901080131531,1,-0.009092603003111566,1.522224058775e-05,-0.15004263818264008,-0.0,0.016671950000000102,-1.0,0.0,-1.0374182222173158,
22,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.9809598326683044,0.0,0.930173397064209,1,-0.009092603003111566,1.522224058775e-05,-1.297315537929535,-0.0,0.016671950000000102,-1.0,0.0,-1.381600092141384,
23,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.9631944894790649,1.0,0.06244632601737976,1,-0.009092603003111566,1.522224058775e-05,-0.017765343189239502,-0.0,0.016671950000000102,-1.0,0.0,-0.9977350337192956,
24,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.5860545039176941,0.8258700370788574,0.6924985647201538,1,-0.009092603003111566,1.522224058775e-05,-0.37713998556137085,-0.0,0.016671950000000102,-1.0,0.0,-1.105547426430935,
25,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.2869642972946167,1.0,1.0,1,-0.009092603003111566,1.522224058775e-05,-0.2990902066230774,-0.0,0.016671950000000102,-1.0,0.0,-1.082132492749447,
26,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.6001853346824646,0.4098856449127197,0.07937198877334595,1,-0.009092603003111566,1.522224058775e-05,-0.3132210373878479,-0.0,0.016671950000000102,-1.0,0.0,-1.086371741978878,
27,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,0.0,0.12654060125350952,1,-0.009092603003111566,1.522224058775e-05,-0.3998146653175354,-0.0,0.016671950000000102,-1.0,0.0,-1.1123498303577843,
28,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,0.543828547000885,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.0,-0.0,0.016671950000000102,-1.0,0.0,-0.9924054307625237,
29,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,0.0501629114151001,0.6000968217849731,1,-0.009092603003111566,1.522224058775e-05,-2.0,-0.0,0.016671950000000102,-1.0,0.0,-1.5924054307625237,
30,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.6301208138465881,0.0,0.9068620204925537,1,-0.009092603003111566,1.522224058775e-05,-1.6301208138465881,-0.0,0.016671950000000102,-1.0,0.0,-1.4814416749165,
31,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,0.0,0.28360193967819214,1,-0.009092603003111566,1.522224058775e-05,-1.6301208138465881,-0.0,0.016671950000000102,-1.0,0.0,-1.4814416749165,
32,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.6086424589157104,0.0,1.0,1,-0.009092603003111566,1.522224058775e-05,-1.6086424589157104,-0.0,0.016671950000000102,-1.0,0.0,-1.4749981684372369,
33,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.5755324363708496,0.20341718196868896,1.0,1,-0.009092603003111566,1.522224058775e-05,-1.18417489528656,-0.0,0.016671950000000102,-1.0,0.0,-1.3476578993484916,
34,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.9664852023124695,0.0,0.9507261514663696,1,-0.009092603003111566,1.522224058775e-05,-0.3909527659416199,-0.0,0.016671950000000102,-1.0,0.0,-1.1096912605450098,
35,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.401489794254303,0.11138224601745605,1.0,1,-0.009092603003111566,1.522224058775e-05,-0.5649954080581665,-0.0,0.016671950000000102,-1.0,0.0,-1.1619040531799736,
36,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.07037843763828278,0.07820674777030945,0.677781343460083,1,-0.009092603003111566,1.522224058775e-05,-0.47186823189258575,-0.0,0.016671950000000102,-1.0,0.0,-1.1339659003302995,
37,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.4023095667362213,0.0,0.14030656218528748,1,-0.009092603003111566,1.522224058775e-05,-0.33193112909793854,-0.0,0.016671950000000102,-1.0,0.0,-1.0919847694919054,
38,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.29069194197654724,0.0,0.2746204137802124,1,-0.009092603003111566,1.522224058775e-05,-0.11161762475967407,-0.0,0.016671950000000102,-1.0,0.0,-1.025890718190426,
39,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.7093080580234528,-0.0,0.016671950000000102,-1.0,0.0,-1.2051978481695595,
40,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.2999778389930725,0.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-1.2999778389930725,-0.0,0.016671950000000102,-1.0,0.0,-1.3823987824604456,
41,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,0.0,1.0,1,-0.009092603003111566,1.522224058775e-05,-1.2999778389930725,-0.0,0.016671950000000102,-1.0,0.0,-1.3823987824604456,
42,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,0.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-2.0,-0.0,0.016671950000000102,-1.0,0.0,-1.5924054307625237,
43,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.4081173837184906,0.0,0.21638217568397522,1,-0.009092603003111566,1.522224058775e-05,-1.4081173837184906,-0.0,0.016671950000000102,-1.0,0.0,-1.414840645878071,
44,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.47542908787727356,0.0,0.39141982793807983,1,-0.009092603003111566,1.522224058775e-05,-0.8835464715957642,-0.0,0.016671950000000102,-1.0,0.0,-1.2574693722412529,
45,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,0.0,0.09280556440353394,1,-0.009092603003111566,1.522224058775e-05,-0.5245709121227264,-0.0,0.016671950000000102,-1.0,0.0,-1.1497767043993417,
46,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.1991562694311142,0.0,1.0,1,-0.009092603003111566,1.522224058775e-05,-0.8008437305688858,-0.0,0.016671950000000102,-1.0,0.0,-1.2326585499331895,
47,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.5789406299591064,0.0,1.0,1,-0.009092603003111566,1.522224058775e-05,-0.7780968993902206,-0.0,0.016671950000000102,-1.0,0.0,-1.2258345005795899,
48,-0.00560156,0.00413833,0.00856322,0.333441,3598.45,0.0,0.0,0.33077332377433777,0.0,0.8473324775695801,1,-0.005577371221398644,9.3389488398e-06,-0.9097139537334442,-0.0,0.01666205000000004,-1.0,0.0,-1.261820168392592,
49,-0.00849504,-0.00391293,0.00858801,0.333439,3598.45,0.0,0.0,-0.6036645174026489,0.214211106300354,1.0,1,-0.008458249434852367,1.4162888212800001e-05,-0.9344378411769867,-0.0,0.016681950000000112,-1.0,0.0,-1.2720934888997355,
50,-0.0151805,0.000745143,0.00904387,0.333442,3598.45,0.0,0.0,-1.0,1.0,0.0,1,-0.015111234887152384,2.5309081405e-05,-0.3963354825973511,-0.0,0.01665709999999987,-1.0,0.0,-1.1173294705849528,
51,-0.135432,-0.0102072,0.00911015,0.333438,3598.45,0.0,0.0,-1.0,1.0,0.0,1,-0.13480948557661376,0.00022579087608,-0.0,-0.0,0.01669190000000015,-1.0,0.0,-1.1178917947005336,
52,0.0301549,0.00373878,0.00904196,0.333441,3598.45,0.0,0.0,-0.6806421279907227,0.2800864279270172,0.0,1,0.030017339478548503,-5.027440005449999e-05,-0.31935787200927734,-0.0,0.016657050000000173,-1.0,0.0,-1.049183246524289,
53,0.0976015,-0.00919619,0.00898665,0.333455,3598.45,0.000244141,0.0,-1.0,0.38413262367248535,0.3148995637893677,1,0.09715900952683017,-0.0001627285409125,-0.31935787200927734,-0.0,0.01660274999999989,-1.0,0.0,-0.9822083306168656,
54,0.872831,-0.0662022,0.00926894,0.33341,3598.45,0.00317383,0.0,0.03999108076095581,1.0,0.0,1,0.8687484552316276,-0.0014550529185500002,-1.0399910807609558,-0.0,0.01689550000000012,-1.0,0.0,-0.42780842191520896,
55,1.67245,-0.214979,0.00998896,0.333262,3598.46,0.010498,0.0,-1.0,1.0,0.0,1,1.6640136835633927,-0.0027868201595,-1.0399910807609558,-0.0,0.01740309999999995,-1.0,0.0,0.36663263917560585,
56,1.65004,-0.192391,0.0108849,0.333036,3598.47,0.0195313,0.0,-0.2105257660150528,0.0,0.0,1,1.640962168863609,-0.0027476136072,-0.7894742339849472,-0.0,0.017781799999999903,-1.0,0.0,0.41915408506092455,
57,1.08122,-0.0536244,0.0113236,0.332908,3598.47,0.0270996,0.0,-0.07353837788105011,1.0,0.9685744047164917,1,1.0750291610357947,-0.0017997339388000002,-0.13698738813400269,-0.0,0.017285400000000006,-1.0,0.0,0.04941861065679376,
58,0.954291,-0.0065889,0.0114104,0.332874,3598.48,0.0324707,0.0,0.6900186538696289,0.0,0.0,1,0.9487845747799403,-0.00158829331167,-0.763557031750679,-0.0,0.016813699999999876,-1.0,0.0,-0.2650571280569336,
59,0.952129,-0.041015,0.0115167,0.332847,3598.49,0.0378418,0.0,-1.0,0.0,0.0,1,0.9465832873495885,-0.001584566406315,-1.690018653869629,-0.0,0.016777350000000135,-1.0,0.0,-0.545229525217615,
60,0.871439,-0.00769953,0.0116541,0.332804,3598.49,0.0437012,0.0,0.13164786994457245,0.0,0.0,1,0.8663020184181107,-0.0014500919247800001,-1.1316478699445724,-0.0,0.01685519999999996,-1.0,0.0,-0.457787234490041,
61,0.439082,-0.0210311,0.0116097,0.332783,3598.49,0.0476074,0.0,0.0028336942195892334,0.0,0.22215110063552856,1,0.4365036615779973,-0.00073059512603,-0.12881417572498322,-0.0,0.016744149999999847,-1.0,0.0,-0.5861270362655278,
62,0.833413,-0.00871511,0.0117618,0.33275,3598.5,0.0510254,0.0,-1.0,0.4971877932548523,0.0,1,0.8284542480059115,-0.0013865908787500001,-1.0028336942195892,-0.0,0.016802499999999942,-1.0,0.0,-0.45697995113871537,
63,1.56082,-0.0841513,0.0121409,0.332684,3598.51,0.0581055,0.0,-0.47014403343200684,1.0,0.0,1,1.551230320843007,-0.0025962992044,-0.5298559665679932,-0.0,0.01696420000000004,-1.0,0.0,0.4066414316682092,
64,1.79627,-0.100652,0.0125615,0.332575,3598.51,0.067627,0.0,-0.33982107043266296,0.0,0.0,1,1.7848466578835303,-0.0029869724762500004,-0.13032296299934387,-0.0,0.017173749999999932,-1.0,0.0,0.7599365465074772,
65,2.46235,-0.03943,0.0127127,0.332485,3598.53,0.0791016,0.0,1.0,0.9146653413772583,0.0,1,2.44649989226892,-0.00409347219875,-1.339821070432663,-0.0,0.017074250000000124,-1.0,0.0,1.0575343489403712,
66,3.26922,0.106958,0.0123369,0.332483,3598.54,0.0949707,0.0,0.242018923163414,1.0,0.0,1,3.2488057084107185,-0.005434800366299999,-0.757981076836586,-0.0,0.016634150000000014,-1.0,0.0,2.032610734993443,
67,3.12197,0.247151,0.0115082,0.332613,3598.56,0.112549,0.0,0.6616485714912415,0.0,0.06897974014282227,1,3.103799536453208,-0.0051920390380500005,-0.41962964832782745,-0.0,0.01598064999999982,-1.0,0.0,1.9886992529168097,
