step,speedX,speedY,angle,trackPos,distFromStart,distRaced,damage,steer,accel,brake,gear,r_speed,r_safety,r_smooth,r_anticipation,r_recovery,r_time,r_terminal,reward_total,terminal_reason
0,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.0,-0.0,0.0,-1.0,0.0,-1.0090773807625237,
1,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.5320417284965515,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.4679582715034485,-0.0,0.016671950000000102,-1.0,0.0,-1.1327929122135583,
2,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.5437521934509277,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-1.0757939219474792,-0.0,0.016671950000000102,-1.0,0.0,-1.3151436073467675,
3,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.7829562425613403,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-1.326708436012268,-0.0,0.016671950000000102,-1.0,0.0,-1.3904179615662042,
4,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.782025158405304,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.000931084156036377,-0.0,0.016671950000000102,-1.0,0.0,-0.9926847560093346,
5,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,0.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.21797484159469604,-0.0,0.016671950000000102,-1.0,0.0,-1.0577978832409325,
6,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.7816436290740967,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.21835637092590332,-0.0,0.016671950000000102,-1.0,0.0,-1.0579123420402947,
7,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,1.0,0.07615649700164795,1,-0.009092603003111566,1.522224058775e-05,-1.7816436290740967,-0.0,0.016671950000000102,-1.0,0.0,-1.5268985194847526,
8,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-2.0,-0.0,0.016671950000000102,-1.0,0.0,-1.5924054307625237,
9,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.7094932794570923,0.0792233943939209,0.0,1,-0.009092603003111566,1.522224058775e-05,-1.7094932794570923,-0.0,0.016671950000000102,-1.0,0.0,-1.5052534145996515,
10,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.3450835347175598,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-1.054576814174652,-0.0,0.016671950000000102,-1.0,0.0,-1.3087784750149192,
11,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.9729452133178711,1.0,1.0,1,-0.009092603003111566,1.522224058775e-05,-0.6278616786003113,-0.0,0.016671950000000102,-1.0,0.0,-1.180763934342617,
12,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.1739816665649414,1.0,0.3688613176345825,1,-0.009092603003111566,1.522224058775e-05,-0.7989635467529297,-0.0,0.016671950000000102,-1.0,0.0,-1.2320944947884027,
13,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.4184320569038391,1.0,0.19857355952262878,1,-0.009092603003111566,1.522224058775e-05,-0.5924137234687805,-0.0,0.016671950000000102,-1.0,0.0,-1.170129547803158,
14,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.7383809089660645,1.0,0.46306848526000977,1,-0.009092603003111566,1.522224058775e-05,-1.1568129658699036,-0.0,0.016671950000000102,-1.0,0.0,-1.3394493205234947,
15,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.02024686336517334,0.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.7181340456008911,-0.0,0.016671950000000102,-1.0,0.0,-1.207845644442791,
16,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.9797531366348267,-0.0,0.016671950000000102,-1.0,0.0,-1.2863313717529716,
17,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.3903213441371918,0.8331875205039978,0.027145374566316605,1,-0.009092603003111566,1.522224058775e-05,-1.3903213441371918,-0.0,0.016671950000000102,-1.0,0.0,-1.4095018340036813,
18,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,1.0,1,-0.009092603003111566,1.522224058775e-05,-1.3903213441371918,-0.0,0.016671950000000102,-1.0,0.0,-1.4095018340036813,
19,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.8233863115310669,0.0,0.7236765027046204,1,-0.009092603003111566,1.522224058775e-05,-1.823386311531067,-0.0,0.016671950000000102,-1.0,0.0,-1.5394213242218437,
