step,speedX,speedY,angle,trackPos,distFromStart,distRaced,damage,steer,accel,brake,gear,r_speed,r_safety,r_smooth,r_anticipation,r_recovery,r_time,r_terminal,reward_total,terminal_reason
0,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.2199338674545288,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.0,-0.0,0.0,-1.0,0.0,-1.0090773807625237,
1,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.6505448818206787,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.8704787492752075,-0.0,0.016671950000000102,-1.0,0.0,-1.2535490555450859,
2,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.8856262564659119,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.23508137464523315,-0.0,0.016671950000000102,-1.0,0.0,-1.0629298431560936,
3,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.9058718681335449,1.0,0.11844527721405029,1,-0.009092603003111566,1.522224058775e-05,-1.7914981245994568,-0.0,0.016671950000000102,-1.0,0.0,-1.5298548681423607,
4,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.2750447988510132,0.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.6308270692825317,-0.0,0.016671950000000102,-1.0,0.0,-1.1816535515472832,
5,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.13515466451644897,0.25830960273742676,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.1398901343345642,-0.0,0.016671950000000102,-1.0,0.0,-1.034372471062893,
6,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.38183924555778503,1.0,0.8450428247451782,1,-0.009092603003111566,1.522224058775e-05,-0.516993910074234,-0.0,0.016671950000000102,-1.0,0.0,-1.1475036037847939,
7,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,0.7431677579879761,0.0,1,-0.009092603003111566,1.522224058775e-05,-1.381839245557785,-0.0,0.016671950000000102,-1.0,0.0,-1.406957204429859,
8,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.9194871187210083,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.0805128812789917,-0.0,0.016671950000000102,-1.0,0.0,-1.0165592951462212,
9,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,0.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.0805128812789917,-0.0,0.016671950000000102,-1.0,0.0,-1.0165592951462212,
10,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,1.0,1,-0.009092603003111566,1.522224058775e-05,-0.0,-0.0,0.016671950000000102,-1.0,0.0,-0.9924054307625237,
11,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,0.47406214475631714,0.0,1,-0.009092603003111566,1.522224058775e-05,-2.0,-0.0,0.016671950000000102,-1.0,0.0,-1.5924054307625237,
12,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-2.0,-0.0,0.016671950000000102,-1.0,0.0,-1.5924054307625237,
13,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.5897144079208374,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.4102855920791626,-0.0,0.016671950000000102,-1.0,0.0,-1.1154911083862724,
14,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.7155795097351074,1.0,0.5793247222900391,1,-0.009092603003111566,1.522224058775e-05,-0.12586510181427002,-0.0,0.016671950000000102,-1.0,0.0,-1.0301649613068047,
15,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.573316216468811,1.0,0.5314399600028992,1,-0.009092603003111566,1.522224058775e-05,-0.1422632932662964,-0.0,0.016671950000000102,-1.0,0.0,-1.0350844187424126,
16,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.5364450812339783,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.036871135234832764,-0.0,0.016671950000000102,-1.0,0.0,-1.0034667713329735,
