step,speedX,speedY,angle,trackPos,distFromStart,distRaced,steer,accel,brake,gear,r_speed,r_safety,r_ttc,r_terminal,reward_total,terminal_reason
0,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.41567373275756836,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
1,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.48846757411956787,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
2,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.5692012310028076,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
3,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
4,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
5,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-1.0,0.6468873023986816,0.0,1,0.0,0.0,0.0,0.0,0.0,
6,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-1.0,0.020738303661346436,0.0,1,0.0,0.0,0.0,0.0,0.0,
7,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,1.0,0.6544610261917114,0.0,1,0.0,0.0,0.0,0.0,0.0,
8,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.6559172868728638,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
9,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.4989355206489563,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
10,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-1.0,0.821752667427063,0.0,1,0.0,0.0,0.0,0.0,0.0,
11,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.06470233201980591,0.43420448899269104,0.0,1,0.0,0.0,0.0,0.0,0.0,
12,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,1.0,0.34700220823287964,0.0,1,0.0,0.0,0.0,0.0,0.0,
13,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.9965201616287231,0.7622393369674683,0.0,1,0.0,0.0,0.0,0.0,0.0,
14,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.009077519178390503,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
15,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.5706502199172974,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
16,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.8880149722099304,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
17,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.002338796854019165,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
18,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.8125885725021362,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
19,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.46238917112350464,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
20,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.5951233506202698,0.8343287110328674,0.0,1,0.0,0.0,0.0,0.0,0.0,
21,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.9367225170135498,0.8116834759712219,0.0,1,0.0,0.0,0.0,0.0,0.0,
22,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.2263180911540985,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
23,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.398570716381073,1.0,0.3669393062591553,1,0.0,0.0,0.0,0.0,0.0,
24,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,1.0,0.03328847885131836,0.0,1,0.0,0.0,0.0,0.0,0.0,
25,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.2617959976196289,0.8610016107559204,0.0,1,0.0,0.0,0.0,0.0,0.0,
26,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.2136319875717163,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
27,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.09402848780155182,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
28,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.22456030547618866,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
29,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.7435765266418457,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
30,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-1.0,0.21322369575500488,0.0,1,0.0,0.0,0.0,0.0,0.0,
31,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.8339810371398926,0.8815544247627258,0.0,1,0.0,0.0,0.0,0.0,0.0,
32,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.12745048105716705,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
33,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-1.0,0.5905364155769348,0.0,1,0.0,0.0,0.0,0.0,0.0,
34,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.441430926322937,0.517223596572876,0.0,1,0.0,0.0,0.0,0.0,0.0,
35,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,1.0,0.0,0.2093641757965088,1,0.0,0.0,0.0,0.0,0.0,
36,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.7771985530853271,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
37,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.7486609816551208,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
38,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.9176455140113831,0.20130640268325806,0.0,1,0.0,0.0,0.0,0.0,0.0,
39,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.5230154991149902,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
40,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.3040626049041748,0.7210785746574402,0.0,1,0.0,0.0,0.0,0.0,0.0,
41,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.050528645515441895,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
42,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.02788606286048889,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
43,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.44899770617485046,0.6699154376983643,0.0,1,0.0,0.0,0.0,0.0,0.0,
44,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-1.0,0.6882820129394531,0.0,1,0.0,0.0,0.0,0.0,0.0,
45,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
46,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.2003854513168335,0.8839944005012512,0.0,1,0.0,0.0,0.0,0.0,0.0,
47,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.6465755105018616,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
48,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.48160284757614136,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
49,0.194683,0.00581473,4.59353e-06,0.333334,6351.65,0.000488281,-0.8554147481918335,1.0,0.0,1,0.19468255285684555,0.0,0.0,0.0,0.19468255285684555,
50,0.174376,-0.0100839,2.84354e-05,0.333334,6351.65,0.00195313,-0.20999351143836975,1.0,0.0,1,0.17437352070384737,0.0,0.0,0.0,0.17437352070384737,
51,0.187882,-0.0107733,6.7536e-05,0.333334,6351.65,0.00244141,-0.6361887454986572,0.0,0.0,1,0.18787565517215346,0.0,0.0,0.0,0.18787565517215346,
52,0.187148,0.0036849,0.000174348,0.333334,6351.66,0.00390625,0.8518609404563904,0.03314495086669922,0.0,1,0.18713168271594074,0.0,0.0,0.0,0.18713168271594074,
53,0.899646,-0.0467166,0.000303094,0.333334,6351.66,0.00683594,-0.631598711013794,0.8120681047439575,0.0,1,0.8995096200262982,0.0,0.0,0.0,0.8995096200262982,
54,1.74691,-0.176837,0.00089008,0.333223,6351.67,0.0141602,-0.8288903832435608,0.9519760012626648,0.0,1,1.7461318632882086,0.0,0.0,0.0,1.7461318632882086,
55,2.64539,-0.204014,0.00176555,0.333019,6351.68,0.0268555,-0.27939143776893616,1.0,0.0,1,2.6430505939961217,0.0,0.0,0.0,2.6430505939961217,
56,2.77037,-0.0958179,0.00229723,0.332867,6351.69,0.0415039,-0.14795874059200287,0.0,0.0,1,2.7671806042752007,0.0,0.0,0.0,2.7671806042752007,
57,2.60796,-0.15334,0.00285417,0.332765,6351.71,0.0566406,-0.38303083181381226,0.0,0.0,1,2.6042276018691988,0.0,0.0,0.0,2.6042276018691988,
58,2.73304,-0.279623,0.00382978,0.332551,6351.72,0.0712891,-1.0,0.0,0.0,1,2.727786498809861,0.0,0.0,0.0,2.727786498809861,
59,3.00604,-0.443107,0.00537569,0.332215,6351.74,0.0869141,-1.0,0.4338536560535431,0.0,1,2.9979168350991086,0.0,0.0,0.0,2.9979168350991086,
60,3.71675,-0.389036,0.00712091,0.331768,6351.76,0.10791,-0.5634363889694214,0.7516409158706665,0.0,1,3.703422557825749,0.0,0.0,0.0,3.703422557825749,
61,4.5908,-0.251512,0.0082739,0.331442,6351.78,0.130859,0.9363818168640137,0.9041497707366943,0.0,1,4.5716511703605756,0.0,0.0,0.0,4.5716511703605756,
