step,speedX,speedY,angle,trackPos,distFromStart,distRaced,steer,accel,brake,gear,r_speed,r_safety,r_ttc,r_smooth,r_time,r_terminal,reward_total,terminal_reason
30,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.3645225465297699,1.0,0.0,1,0.0,0.0,0.0,-0.08952122926712036,-1.0,0.0,-1.0268563687801362,
31,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.6692280769348145,1.0,0.12046248465776443,1,0.0,0.0,0.0,-0.30470553040504456,-1.0,0.0,-1.0914116591215133,
32,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,1.0,1.0,0.33814486861228943,1,0.0,0.0,0.0,-0.33077192306518555,-1.0,0.0,-1.0992315769195558,
33,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.35133111476898193,1.0,1.0,1,0.0,0.0,0.0,-0.6486688852310181,-1.0,0.0,-1.1946006655693053,
34,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.8103517293930054,1.0,0.22479987144470215,1,0.0,0.0,0.0,-0.45902061462402344,-1.0,0.0,-1.137706184387207,
35,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,1.0,1.0,0.48417964577674866,1,0.0,0.0,0.0,-0.18964827060699463,-1.0,0.0,-1.0568944811820984,
36,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,1.0,1.0,0.0,1,0.0,0.0,0.0,-0.0,-1.0,0.0,-1.0,
37,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,1.0,1.0,1.0,1,0.0,0.0,0.0,-0.0,-1.0,0.0,-1.0,
38,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.5747670531272888,1.0,0.0,1,0.0,0.0,0.0,-1.5747670531272888,-1.0,0.0,-1.4724301159381867,
39,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.1819414496421814,1.0,0.24227893352508545,1,0.0,0.0,0.0,-0.7567085027694702,-1.0,0.0,-1.2270125508308412,
40,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.19556736946105957,1.0,0.3692423701286316,1,0.0,0.0,0.0,-0.37750881910324097,-1.0,0.0,-1.1132526457309724,
41,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,1.0,1.0,1.0,1,0.0,0.0,0.0,-1.1955673694610596,-1.0,0.0,-1.358670210838318,
42,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.26039886474609375,1.0,1.0,1,0.0,0.0,0.0,-1.2603988647460938,-1.0,0.0,-1.378119659423828,
43,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,1.0,1.0,0.7691716551780701,1,0.0,0.0,0.0,-1.2603988647460938,-1.0,0.0,-1.378119659423828,
44,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-1.0,1.0,1.0,1,0.0,0.0,0.0,-2.0,-1.0,0.0,-1.6,
45,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,1.0,1.0,0.1546470820903778,1,0.0,0.0,0.0,-2.0,-1.0,0.0,-1.6,
46,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.8168059587478638,1.0,0.5833324193954468,1,0.0,0.0,0.0,-0.18319404125213623,-1.0,0.0,-1.054958212375641,
47,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,1.0,1.0,0.0,1,0.0,0.0,0.0,-0.18319404125213623,-1.0,0.0,-1.054958212375641,
48,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.3996160626411438,1.0,0.0,1,0.0,0.0,0.0,-0.6003839373588562,-1.0,0.0,-1.180115181207657,
49,0.193737,0.00423653,3.65416e-05,0.333334,6351.65,0.000488281,1.0,1.0,0.0,1,0.19373346014067377,0.0,0.0,-0.6003839373588562,-1.0,0.0,-0.9863817210669831,
50,0.165869,0.0377786,-0.000100787,0.333334,6351.65,0.00146484,0.9084384441375732,1.0,0.0,1,0.16586064043811238,0.0,0.0,-0.09156155586242676,-1.0,0.0,-0.8616078263206156,
51,0.191631,0.0125232,-0.000197109,0.333334,6351.65,0.00244141,1.0,1.0,1.0,1,0.19161211018011304,0.0,0.0,-0.09156155586242676,-1.0,0.0,-0.835856356578615,
52,0.0987448,0.0602789,-0.000264343,0.333345,6351.65,0.00341797,1.0,0.7895001173019409,0.0,1,0.09873174530181267,0.0,0.0,-0.0,-1.0,0.0,-0.9012682546981874,
53,0.668631,0.0642959,-0.000243839,0.333375,6351.66,0.00537109,0.36364758014678955,1.0,0.0,1,0.6685494609660536,0.0,0.0,-0.6363524198532104,-1.0,0.0,-0.5223562649899095,
54,1.59326,0.138118,-0.000875648,0.333477,6351.66,0.012207,0.18437910079956055,0.0,0.0,1,1.5925618217993867,0.0,0.0,-0.179268479347229,-1.0,0.0,0.5387812779952179,
55,1.7168,0.128675,-0.00150603,0.333619,6351.67,0.0214844,1.0,0.0,0.0,1,1.7155052773773964,0.0,0.0,-0.8156208992004395,-1.0,0.0,0.4708190076172647,
56,1.69174,0.144443,-0.00195282,0.333721,6351.68,0.03125,0.9663563966751099,0.0,0.0,1,1.6900849434672234,0.0,0.0,-0.03364360332489014,-1.0,0.0,0.6799918624697563,
57,1.66741,0.217058,-0.00292319,0.333904,6351.69,0.0405273,0.38956618309020996,0.0,0.0,1,1.6649658013145565,0.0,0.0,-0.5767902135848999,-1.0,0.0,0.4919287372390866,
58,1.67925,0.181839,-0.00372761,0.334108,6351.7,0.0498047,1.0,0.0,0.0,1,1.6761085460619278,0.0,0.0,-0.61043381690979,-1.0,0.0,0.4929784009889908,
59,1.6633,0.214514,-0.00468558,0.334311,6351.71,0.059082,-0.919955849647522,0.0,0.042530059814453125,1,1.659384993092136,0.0,0.0,-1.919955849647522,-1.0,0.0,0.0833982381978795,
60,1.53691,0.156471,-0.00550574,0.334525,6351.72,0.0688477,1.0,0.0,0.0,1,1.5326558136931956,0.0,0.0,-1.919955849647522,-1.0,0.0,-0.04333094120106096,
