step,speedX,speedY,angle,trackPos,distFromStart,distRaced,steer,accel,brake,gear,r_speed,r_safety,r_ttc,r_terminal,reward_total,terminal_reason
0,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-1.0,0.942007303237915,0.0,1,0.0,0.0,0.0,0.0,0.0,
1,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.8149206638336182,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
2,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
3,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.6836717128753662,0.6411978602409363,0.0,1,0.0,0.0,0.0,0.0,0.0,
4,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.5242006778717041,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
5,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.5367605686187744,0.5494731664657593,0.0,1,0.0,0.0,0.0,0.0,0.0,
6,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.7864114046096802,0.7517620325088501,0.0,1,0.0,0.0,0.0,0.0,0.0,
7,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.481681227684021,0.9276767373085022,0.0,1,0.0,0.0,0.0,0.0,0.0,
8,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.46959349513053894,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
9,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.4583378732204437,0.7160574793815613,0.0,1,0.0,0.0,0.0,0.0,0.0,
10,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.7268091440200806,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
11,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.8000826835632324,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
12,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.21142876148223877,0.4401657283306122,0.0,1,0.0,0.0,0.0,0.0,0.0,
13,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.6965093612670898,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
14,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.5579856634140015,0.047226130962371826,0.0,1,0.0,0.0,0.0,0.0,0.0,
15,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.8480820655822754,0.6064049601554871,0.0,1,0.0,0.0,0.0,0.0,0.0,
16,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.7731329798698425,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
17,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.14185822010040283,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
18,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,1.0,0.27900785207748413,0.0,1,0.0,0.0,0.0,0.0,0.0,
19,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
20,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.8224812150001526,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
21,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.20378203690052032,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
22,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
23,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-1.0,0.9929744601249695,0.0,1,0.0,0.0,0.0,0.0,0.0,
24,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
25,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.07156223058700562,0.984802782535553,0.0,1,0.0,0.0,0.0,0.0,0.0,
26,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.3526041805744171,0.9027037620544434,0.0,1,0.0,0.0,0.0,0.0,0.0,
27,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-1.0,0.16979151964187622,0.0,1,0.0,0.0,0.0,0.0,0.0,
28,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.3173559606075287,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
29,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.5248492360115051,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
30,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
31,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-1.0,0.24241381883621216,0.0,1,0.0,0.0,0.0,0.0,0.0,
32,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-1.0,1.0,0.08597040176391602,1,0.0,0.0,0.0,0.0,0.0,
33,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.4795334041118622,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
34,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.1788530796766281,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
35,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.4158966541290283,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
36,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.585135281085968,0.9323734045028687,0.0,1,0.0,0.0,0.0,0.0,0.0,
37,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.3733938932418823,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
38,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.3488115966320038,0.608835756778717,0.0,1,0.0,0.0,0.0,0.0,0.0,
39,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.6743309497833252,0.6465647220611572,0.0,1,0.0,0.0,0.0,0.0,0.0,
40,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
41,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.6018953919410706,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
42,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.9984489679336548,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
43,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-1.0,0.9147521257400513,0.0,1,0.0,0.0,0.0,0.0,0.0,
44,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,1.0,0.45437172055244446,0.0,1,0.0,0.0,0.0,0.0,0.0,
45,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.6311687231063843,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
46,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-1.0,0.5286816358566284,0.0,1,0.0,0.0,0.0,0.0,0.0,
47,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-1.0,0.7820411920547485,0.0,1,0.0,0.0,0.0,0.0,0.0,
48,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-1.0,0.17409271001815796,0.0,1,0.0,0.0,0.0,0.0,0.0,
49,0.186356,-0.0121366,-5.59648e-05,0.333334,6351.65,0.000488281,-0.8947874307632446,1.0,0.0,1,0.18635078502002936,0.0,0.0,0.0,0.18635078502002936,
50,0.161842,-0.0263419,5.27541e-05,0.333334,6351.65,0.00146484,-0.5195383429527283,0.31230443716049194,0.0,1,0.16183773086027314,0.0,0.0,0.0,0.16183773086027314,
51,0.178292,-0.00746986,0.000101391,0.333334,6351.65,0.00244141,-0.518339991569519,0.07439219951629639,0.0,1,0.17828296048149658,0.0,0.0,0.0,0.17828296048149658,
52,0.940103,-0.0443006,0.000248734,0.333334,6351.66,0.00585938,-0.3332226872444153,0.8162857890129089,0.0,1,0.9399860531299752,0.0,0.0,0.0,0.9399860531299752,
53,1.82884,-0.159589,0.000747506,0.333253,6351.66,0.0131836,-1.0,1.0,0.0,1,1.828155954681067,0.0,0.0,0.0,1.828155954681067,
54,2.66001,-0.237422,0.001674,0.33307,6351.68,0.0258789,-0.6550222635269165,1.0,0.0,1,2.6577798456296238,0.0,0.0,0.0,2.6577798456296238,
55,2.74679,-0.396793,0.00314266,0.332765,6351.69,0.0410156,-1.0,0.0,0.007711887359619141,1,2.7424603295076593,0.0,0.0,0.0,2.7424603295076593,
56,3.40229,-0.366851,0.00470096,0.332399,6351.71,0.0576172,0.6295676231384277,0.8392124176025391,0.0,1,3.39425542127862,0.0,0.0,0.0,3.39425542127862,
57,3.44306,-0.494973,0.00651819,0.332002,6351.73,0.0766602,-1.0,0.0,0.0,1,3.431765677785021,0.0,0.0,0.0,3.431765677785021,
58,3.81548,-0.407965,0.00833542,0.331554,6351.75,0.0966797,0.4408111274242401,0.5396456718444824,0.0,1,3.799445822457254,0.0,0.0,0.0,3.799445822457254,
59,4.20186,-0.572997,0.010289,0.331086,6351.77,0.119141,-1.0,0.42713648080825806,0.0,1,4.180021502742157,0.0,0.0,0.0,4.180021502742157,
60,4.16916,-0.468838,0.0127714,0.330466,6351.8,0.14502,-0.5530389547348022,0.0,0.0,1,4.142197710297888,0.0,0.0,0.0,4.142197710297888,
61,4.88595,-0.272856,0.0140007,0.330079,6351.82,0.169922,0.2784040570259094,0.7911316752433777,0.0,1,4.851268894166829,0.0,0.0,0.0,4.851268894166829,
62,5.73351,-0.354534,0.0154226,0.329723,6351.85,0.199707,-0.43422722816467285,1.0,0.0,1,5.6886170739792075,0.0,0.0,0.0,5.6886170739792075,
63,6.59574,-0.603379,0.0179308,0.329194,6351.89,0.234375,-1.0,1.0,0.0,1,6.53554943964401,0.0,0.0,0.0,6.53554943964401,
64,7.52823,-0.579568,0.0208486,0.328482,6351.92,0.273438,0.1376969814300537,1.0,0.0,1,7.448123090564106,0.0,0.0,0.0,7.448123090564106,
65,8.04281,-0.789521,0.0235565,0.327719,6351.97,0.316895,-1.0,0.541595458984375,0.0,1,7.94585712457782,0.0,0.0,0.0,7.94585712457782,
66,8.85131,-0.727532,0.0267833,0.326773,6352.02,0.36377,-0.22014008462429047,1.0,0.0,1,8.729615993106941,0.0,0.0,0.0,8.729615993106941,
67,8.93822,-0.426431,0.0286844,0.326041,6352.06,0.413574,-0.27759110927581787,0.0,0.0,1,8.806366931554978,0.0,0.0,0.0,8.806366931554978,
68,9.74126,-0.133619,0.029341,0.325522,6352.12,0.46582,0.5614556670188904,1.0,0.0,1,9.594178552530378,0.0,0.0,0.0,9.594178552530378,
69,10.5772,0.0866861,0.0285261,0.325268,6352.17,0.522461,0.09026265144348145,0.7905003428459167,0.0,1,10.42205408224638,0.0,0.0,0.0,10.42205408224638,
70,11.3885,-0.17262,0.0290092,0.324963,6352.23,0.583496,-1.0,1.0,0.0,1,11.218545962990625,0.0,0.0,0.0,11.218545962990625,
71,12.1882,-0.640435,0.0322617,0.324251,6352.3,0.648926,-0.8607363700866699,1.0,0.0,1,11.985285782911676,0.0,0.0,0.0,11.985285782911676,
72,13.0179,-1.20285,0.0391715,0.322837,6352.38,0.726074,-1.0,1.0,0.0,1,12.753013765855531,0.0,0.0,0.0,12.753013765855531,
73,13.2311,-1.44621,0.0462816,0.320996,6352.45,0.798828,1.0,0.0,0.0,1,12.910863164799087,0.0,0.0,0.0,12.910863164799087,
74,13.6198,-1.52494,0.0525048,0.319022,6352.52,0.872559,-0.761050820350647,0.6478924751281738,0.0,1,13.24364291366869,0.0,0.0,0.0,13.24364291366869,
75,13.7352,-1.18543,0.0580471,0.317049,6352.6,0.948242,0.6776811480522156,0.0,0.0,1,13.313645921339777,0.0,0.0,0.0,13.313645921339777,
76,14.3571,-1.3031,0.0632308,0.315177,6352.68,1.02588,-0.9099104404449463,1.0,0.0,1,13.874805698561184,0.0,0.0,0.0,13.874805698561184,
77,14.9328,-1.80698,0.0715135,0.312817,6352.76,1.10693,-1.0,0.6514019966125488,0.0,1,14.361138357456134,0.0,0.0,0.0,14.361138357456134,
78,15.7312,-1.75758,0.0800927,0.31002,6352.84,1.19092,0.5371061563491821,1.0,0.0,1,15.051466573339134,0.0,0.0,0.0,15.051466573339134,
79,16.3783,-1.29602,0.0857337,0.307385,6352.93,1.27979,0.10149732232093811,1.0,0.15889620780944824,1,15.616918059986109,0.0,0.0,0.0,15.616918059986109,
80,17.1875,-0.662878,0.0880659,0.305147,6353.02,1.37207,0.7357756495475769,0.8720731735229492,0.0,1,16.365054907244584,0.0,0.0,0.0,16.365054907244584,
81,17.2761,-0.410951,0.0892313,0.303296,6353.12,1.46777,-0.15549620985984802,0.0,0.0,1,16.43760554838278,0.0,0.0,0.0,16.43760554838278,
82,17.2462,-0.819963,0.0923336,0.301302,6353.21,1.56299,-1.0,0.0,0.0,1,16.377665018019716,0.0,0.0,0.0,16.377665018019716,
83,17.7444,-1.37277,0.0988925,0.298729,6353.31,1.65918,-1.0,1.0,0.0,1,16.781738375343668,0.0,0.0,0.0,16.781738375343668,
84,18.2054,-1.54118,0.106994,0.295595,6353.41,1.75781,0.09567123651504517,0.28579336404800415,0.0,1,17.129217119926977,0.0,0.0,0.0,17.129217119926977,
85,18.6371,-0.983703,0.111133,0.292564,6353.51,1.85889,1.0,0.41857674717903137,0.0,1,17.488661210930026,0.0,0.0,0.0,17.488661210930026,
86,19.3598,-0.314579,0.111659,0.290021,6353.61,1.96338,0.8868603110313416,1.0,0.0,1,18.16063553671182,0.0,0.0,0.0,18.16063553671182,
