step,speedX,speedY,angle,trackPos,distFromStart,distRaced,damage,steer,accel,brake,gear,r_speed,r_safety,r_smooth,r_anticipation,r_time,r_terminal,r_checkpoint,reward_total,terminal_reason
0,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.9606872200965881,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.0,-0.0,-1.0,0.0,0.0,-1.0090773807625237,
1,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.34815514087677,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.6125320792198181,-0.0,-1.0,0.0,0.0,-1.1928370045284693,
2,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.12986326217651367,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.4780184030532837,-0.0,-1.0,0.0,0.0,-1.152482901678509,
3,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.22065287828445435,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.350516140460968,-0.0,-1.0,0.0,0.0,-1.1142322229008141,
4,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.6063847541809082,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.38573187589645386,-0.0,-1.0,0.0,0.0,-1.12479694353146,
5,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.3936152458190918,-0.0,-1.0,0.0,0.0,-1.1271619545082514,
6,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.8068252801895142,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-1.8068252801895142,-0.0,-1.0,0.0,0.0,-1.5511249648193781,
7,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.2685908079147339,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.5382344722747803,-0.0,-1.0,0.0,0.0,-1.1705477224449579,
8,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.06372767686843872,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.20486313104629517,-0.0,-1.0,0.0,0.0,-1.0705363200764124,
9,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.9362723231315613,-0.0,-1.0,0.0,0.0,-1.289959077701992,
10,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.7033420205116272,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.2966579794883728,-0.0,-1.0,0.0,0.0,-1.0980747746090356,
11,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.2966579794883728,-0.0,-1.0,0.0,0.0,-1.0980747746090356,
12,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.7208049297332764,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.27919507026672363,-0.0,-1.0,0.0,0.0,-1.0928359018425409,
13,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.22962689399719238,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.491178035736084,-0.0,-1.0,0.0,0.0,-1.156430791483349,
14,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.7703731060028076,-0.0,-1.0,0.0,0.0,-1.240189312563366,
