step,speedX,speedY,angle,trackPos,distFromStart,distRaced,damage,steer,accel,brake,gear,r_speed,r_safety,r_smooth,r_anticipation,r_time,r_terminal,r_checkpoint,reward_total,terminal_reason
0,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.7921968698501587,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.0,-0.0,-1.0,0.0,0.0,-1.0090773807625237,
1,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-1.7921968698501587,-0.0,-1.0,0.0,0.0,-1.5467364417175715,
2,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.0,-0.0,-1.0,0.0,0.0,-1.0090773807625237,
3,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.0,-0.0,-1.0,0.0,0.0,-1.0090773807625237,
4,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,1.0,0.6192256808280945,1,-0.009092603003111566,1.522224058775e-05,-0.0,-0.0,-1.0,0.0,0.0,-1.0090773807625237,
5,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,1.0,0.7983368635177612,1,-0.009092603003111566,1.522224058775e-05,-0.0,-0.0,-1.0,0.0,0.0,-1.0090773807625237,
6,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.36105501651763916,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-1.3610550165176392,-0.0,-1.0,0.0,0.0,-1.4173938857178157,
7,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-1.3610550165176392,-0.0,-1.0,0.0,0.0,-1.4173938857178157,
8,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.0,-0.0,-1.0,0.0,0.0,-1.0090773807625237,
9,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.33962196111679077,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.6603780388832092,-0.0,-1.0,0.0,0.0,-1.2071907924274865,
10,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.6603780388832092,-0.0,-1.0,0.0,0.0,-1.2071907924274865,
11,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.6520012617111206,1.0,0.2585415244102478,1,-0.009092603003111566,1.522224058775e-05,-0.3479987382888794,-0.0,-1.0,0.0,0.0,-1.1134770022491876,
12,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.34380292892456055,1.0,0.9879996180534363,1,-0.009092603003111566,1.522224058775e-05,-0.9958041906356812,-0.0,-1.0,0.0,0.0,-1.3078186379532282,
13,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.8514419794082642,1.0,0.13781827688217163,1,-0.009092603003111566,1.522224058775e-05,-0.5076390504837036,-0.0,-1.0,0.0,0.0,-1.1613690959076348,
14,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.43970978260040283,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-1.291151762008667,-0.0,-1.0,0.0,0.0,-1.396422909365124,
15,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,1.0,1.0,1,-0.009092603003111566,1.522224058775e-05,-0.5602902173995972,-0.0,-1.0,0.0,0.0,-1.1771644459824029,
16,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,0.016999006271362305,0.29461967945098877,1,-0.009092603003111566,1.522224058775e-05,-0.0,-0.0,-1.0,0.0,0.0,-1.0090773807625237,
17,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.5918121337890625,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.4081878662109375,-0.0,-1.0,0.0,0.0,-1.131533740625805,
18,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,1.0,0.04516667127609253,1,-0.009092603003111566,1.522224058775e-05,-0.4081878662109375,-0.0,-1.0,0.0,0.0,-1.131533740625805,
19,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.22899925708770752,1.0,0.7478651404380798,1,-0.009092603003111566,1.522224058775e-05,-0.7710007429122925,-0.0,-1.0,0.0,0.0,-1.2403776036362115,
20,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,1.0,0.8617211580276489,1,-0.009092603003111566,1.522224058775e-05,-0.7710007429122925,-0.0,-1.0,0.0,0.0,-1.2403776036362115,
21,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.2736809253692627,1.0,0.769423246383667,1,-0.009092603003111566,1.522224058775e-05,-0.7263190746307373,-0.0,-1.0,0.0,0.0,-1.226973103151745,
22,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.5234378576278687,1.0,1.0,1,-0.009092603003111566,1.522224058775e-05,-0.7971187829971313,-0.0,-1.0,0.0,0.0,-1.2482130156616633,
23,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,0.0,1.0,1,-0.009092603003111566,1.522224058775e-05,-1.5234378576278687,-0.0,-1.0,0.0,0.0,-1.4661087380508844,
24,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,0.2772277593612671,1.0,1,-0.009092603003111566,1.522224058775e-05,-0.0,-0.0,-1.0,0.0,0.0,-1.0090773807625237,
25,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,0.3949594497680664,0.4270646870136261,1,-0.009092603003111566,1.522224058775e-05,-0.0,-0.0,-1.0,0.0,0.0,-1.0090773807625237,
