step,speedX,speedY,angle,trackPos,distFromStart,distRaced,damage,steer,accel,brake,gear,r_speed,r_safety,r_smooth,r_anticipation,r_time,r_terminal,r_checkpoint,reward_total,terminal_reason
0,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.0,-0.0,-1.0,0.0,0.0,-1.0090773807625237,
1,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.0,-0.0,-1.0,0.0,0.0,-1.0090773807625237,
2,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.0,-0.0,-1.0,0.0,0.0,-1.0090773807625237,
3,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.4523477554321289,1,-0.009092603003111566,1.522224058775e-05,-0.0,-0.0,-1.0,0.0,0.0,-1.0090773807625237,
4,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.39524245262145996,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.60475754737854,-0.0,-1.0,0.0,0.0,-1.1905046449760859,
5,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.60475754737854,-0.0,-1.0,0.0,0.0,-1.1905046449760859,
6,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.0,-0.0,-1.0,0.0,0.0,-1.0090773807625237,
7,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.0,-0.0,-1.0,0.0,0.0,-1.0090773807625237,
8,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.0,-0.0,-1.0,0.0,0.0,-1.0090773807625237,
9,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,0.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.0,-0.0,-1.0,0.0,0.0,-1.0090773807625237,
10,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.2651946544647217,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.7348053455352783,-0.0,-1.0,0.0,0.0,-1.2295189844231074,
11,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.4586358368396759,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.19344118237495422,-0.0,-1.0,0.0,0.0,-1.06710973547501,
12,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.25631648302078247,0.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.7149523198604584,-0.0,-1.0,0.0,0.0,-1.2235630767206613,
13,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.04463088512420654,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.300947368144989,-0.0,-1.0,0.0,0.0,-1.0993615912060206,
14,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,0.24243497848510742,0.0,1,-0.009092603003111566,1.522224058775e-05,-1.0446308851242065,-0.0,-1.0,0.0,0.0,-1.3224666462997856,
15,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.20080424845218658,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-1.2008042484521866,-0.0,-1.0,0.0,0.0,-1.3693186552981798,
16,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.7331691384315491,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.5323648899793625,-0.0,-1.0,0.0,0.0,-1.1687868477563326,
17,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.044873256236314774,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.7780423946678638,-0.0,-1.0,0.0,0.0,-1.2424900991628829,
18,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.14285694062709808,1.0,0.4173048734664917,1,-0.009092603003111566,1.522224058775e-05,-0.18773019686341286,-0.0,-1.0,0.0,0.0,-1.0653964398215476,
19,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.8466579914093018,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.9895149320363998,-0.0,-1.0,0.0,0.0,-1.3059318603734438,
20,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.6466024518013,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.2000555396080017,-0.0,-1.0,0.0,0.0,-1.0690940426449242,
21,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.9383134841918945,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.2917110323905945,-0.0,-1.0,0.0,0.0,-1.0965906904797023,
22,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.004658639430999756,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.9336548447608948,-0.0,-1.0,0.0,0.0,-1.2891738341907923,
23,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.8463039398193359,1.0,0.07026708126068115,1,-0.009092603003111566,1.522224058775e-05,-0.8416453003883362,-0.0,-1.0,0.0,0.0,-1.2615709708790246,
24,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.5364271402359009,1.0,0.9789148569107056,1,-0.009092603003111566,1.522224058775e-05,-0.30987679958343506,-0.0,-1.0,0.0,0.0,-1.1020404206375543,
25,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,1.0,0.16770362854003906,1,-0.009092603003111566,1.522224058775e-05,-0.4635728597640991,-0.0,-1.0,0.0,0.0,-1.1481492386917536,
