step,speedX,speedY,angle,trackPos,distFromStart,distRaced,damage,steer,accel,brake,gear,r_speed,r_safety,r_smooth,r_anticipation,r_time,r_terminal,r_checkpoint,reward_total,terminal_reason
0,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.43662863969802856,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.0,-0.0,-1.0,0.0,0.0,-1.0090773807625237,
1,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.27126452326774597,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.7078931629657745,-0.0,-1.0,0.0,0.0,-1.2214453296522563,
2,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.7450584173202515,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-1.0163229405879974,-0.0,-1.0,0.0,0.0,-1.313974262938923,
3,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.008420288562774658,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.7534787058830261,-0.0,-1.0,0.0,0.0,-1.2351209925274316,
4,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.043793052434921265,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.035372763872146606,-0.0,-1.0,0.0,0.0,-1.019689209924168,
5,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.8186583518981934,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.8624514043331146,-0.0,-1.0,0.0,0.0,-1.2678128020624582,
6,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.18134164810180664,-0.0,-1.0,0.0,0.0,-1.0634798751930659,
7,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.4051755964756012,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-1.4051755964756012,-0.0,-1.0,0.0,0.0,-1.4306300597052042,
8,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-1.4051755964756012,-0.0,-1.0,0.0,0.0,-1.4306300597052042,
9,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.6739271879196167,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-1.6739271879196167,-0.0,-1.0,0.0,0.0,-1.5112555371384089,
