step,speedX,speedY,angle,trackPos,distFromStart,distRaced,damage,steer,accel,brake,gear,r_speed,r_safety,r_smooth,r_anticipation,r_time,r_terminal,r_checkpoint,reward_total,terminal_reason
23,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,1.0,1.0,1,-0.009092603003111566,1.522224058775e-05,-0.8176721930503845,-0.0,-1.0,0.0,0.0,-1.2543790386776392,
24,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,1.0,1.0,1,-0.009092603003111566,1.522224058775e-05,-0.0,-0.0,-1.0,0.0,0.0,-1.0090773807625237,
25,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.9131133556365967,1.0,0.11860001087188721,1,-0.009092603003111566,1.522224058775e-05,-0.08688664436340332,-0.0,-1.0,0.0,0.0,-1.0351433740715448,
26,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.7781690359115601,1.0,1.0,1,-0.009092603003111566,1.522224058775e-05,-0.13494431972503662,-0.0,-1.0,0.0,0.0,-1.0495606766800347,
27,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,1.0,1.0,1,-0.009092603003111566,1.522224058775e-05,-0.22183096408843994,-0.0,-1.0,0.0,0.0,-1.0756266699890558,
28,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.6764566898345947,1.0,1.0,1,-0.009092603003111566,1.522224058775e-05,-0.3235433101654053,-0.0,-1.0,0.0,0.0,-1.1061403738121454,
29,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.3235433101654053,-0.0,-1.0,0.0,0.0,-1.1061403738121454,
30,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,1.0,1.0,1,-0.009092603003111566,1.522224058775e-05,-0.0,-0.0,-1.0,0.0,0.0,-1.0090773807625237,
31,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.08355945348739624,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.9164405465126038,-0.0,-1.0,0.0,0.0,-1.284009544716305,
32,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.9454665780067444,1.0,1.0,1,-0.009092603003111566,1.522224058775e-05,-0.8619071245193481,-0.0,-1.0,0.0,0.0,-1.2676495181183283,
33,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.054533421993255615,-0.0,-1.0,0.0,0.0,-1.0254374073605006,
34,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.4525024890899658,1.0,1.0,1,-0.009092603003111566,1.522224058775e-05,-1.4525024890899658,-0.0,-1.0,0.0,0.0,-1.4448281274895134,
35,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,1.0,0.5105430483818054,1,-0.009092603003111566,1.522224058775e-05,-1.4525024890899658,-0.0,-1.0,0.0,0.0,-1.4448281274895134,
36,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.0,-0.0,-1.0,0.0,0.0,-1.0090773807625237,
37,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.8253540992736816,1.0,0.10595524311065674,1,-0.009092603003111566,1.522224058775e-05,-0.17464590072631836,-0.0,-1.0,0.0,0.0,-1.0614711509804193,
38,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.9983132481575012,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.17295914888381958,-0.0,-1.0,0.0,0.0,-1.0609651254276697,
39,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.0016867518424987793,-0.0,-1.0,0.0,0.0,-1.0095834063152735,
40,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.0,-0.0,-1.0,0.0,0.0,-1.0090773807625237,
41,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,1.0,0.3217496871948242,1,-0.009092603003111566,1.522224058775e-05,-0.0,-0.0,-1.0,0.0,0.0,-1.0090773807625237,
42,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,1.0,0.591796338558197,1,-0.009092603003111566,1.522224058775e-05,-0.0,-0.0,-1.0,0.0,0.0,-1.0090773807625237,
43,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,1.0,1.0,1,-0.009092603003111566,1.522224058775e-05,-0.0,-0.0,-1.0,0.0,0.0,-1.0090773807625237,
44,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.81106036901474,1.0,1.0,1,-0.009092603003111566,1.522224058775e-05,-0.18893963098526,-0.0,-1.0,0.0,0.0,-1.0657592700581018,
45,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.18893963098526,-0.0,-1.0,0.0,0.0,-1.0657592700581018,
46,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.8918796181678772,1.0,0.19658392667770386,1,-0.009092603003111566,1.522224058775e-05,-0.1081203818321228,-0.0,-1.0,0.0,0.0,-1.0415134953121608,
47,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.5485479831695557,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.34333163499832153,-0.0,-1.0,0.0,0.0,-1.1120768712620204,
48,-0.0195433,0.0129177,0.00872153,0.33345,3598.45,0.0,0.0,-0.5035147070884705,1.0,1.0,1,-0.019457334065114896,3.2583566925000004e-05,-0.045033276081085205,-0.0,-1.0,0.0,0.0,-1.0329347333225154,
49,0.0180264,-0.0151996,0.0085451,0.333442,3598.45,0.000244141,0.0,-0.20042699575424194,1.0,0.302876353263855,1,0.01794872411352913,-3.0053794344000006e-05,-0.3030877113342285,-0.0,-1.0,0.0,0.0,-1.0730076430810833,
50,-0.000699013,-0.0168624,0.00865,0.333449,3598.45,0.000244141,0.0,0.7704735994338989,1.0,0.0,1,-0.0006959636556887719,1.1654259291849999e-06,-0.9709005951881409,-0.0,-1.0,0.0,0.0,-1.2919649767862018,
51,0.02355,0.0168532,0.00845497,0.333473,3598.45,0.000244141,0.0,1.0,1.0,0.0,1,0.023449602165681437,-3.926644575000001e-05,-0.22952640056610107,-0.0,-1.0,0.0,0.0,-1.045447584449899,
52,0.728981,0.0111328,0.00841874,0.333486,3598.45,0.00244141,0.0,1.0,1.0,0.0,1,0.7258866523168714,-0.00121552478883,-0.0,-0.0,-1.0,0.0,0.0,-0.2753288724719586,
53,1.64139,0.138795,0.00784176,0.333551,3598.46,0.00927734,0.0,1.0,1.0,0.0,1,1.634903905832084,-0.00273743637945,-0.0,-0.0,-1.0,0.0,0.0,0.6321664694526341,
54,2.48435,0.300444,0.00646704,0.333734,3598.47,0.020752,0.0,1.0,1.0,0.0,1,2.4762649097677474,-0.0041455603145,-0.0,-0.0,-1.0,0.0,0.0,1.4721193494532474,
55,3.18369,0.466739,0.00475949,0.334082,3598.48,0.0366211,0.0,0.09691870212554932,1.0,0.0,1,3.176077598654292,-0.0053180676129,-0.9030812978744507,-0.0,-1.0,0.0,0.0,1.8998351416790569,
56,3.88888,0.425848,0.00301331,0.334492,3598.5,0.0563965,0.0,1.0,1.0,0.0,1,3.8830031527964675,-0.0065039962448,-0.9030812978744507,-0.0,-1.0,0.0,0.0,2.6055747671893323,
57,4.62767,0.572224,0.000793632,0.334926,3598.53,0.0800781,0.0,1.0,1.0,0.0,1,4.625832209321099,-0.007749635012100001,-0.0,-0.0,-1.0,0.0,0.0,3.618082574308999,
58,5.39227,0.723771,-0.00254184,0.335548,3598.56,0.108154,0.0,1.0,1.0,0.0,1,5.385399444005607,-0.0090468270698,-0.0,-0.0,-1.0,0.0,0.0,4.376352616935807,
