step,speedX,speedY,angle,trackPos,distFromStart,distRaced,damage,steer,accel,brake,gear,r_speed,r_safety,r_smooth,r_anticipation,r_time,r_terminal,r_checkpoint,reward_total,terminal_reason
0,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.0,-0.0,-1.0,0.0,0.0,-1.0090773807625237,
1,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.9386477470397949,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.06135225296020508,-0.0,-1.0,0.0,0.0,-1.0274830566505853,
2,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.3749069273471832,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.5637408196926117,-0.0,-1.0,0.0,0.0,-1.1781996266703074,
3,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.28905582427978516,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.08585110306739807,-0.0,-1.0,0.0,0.0,-1.0348327116827432,
4,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.33265671133995056,1.0,0.4547863006591797,1,-0.009092603003111566,1.522224058775e-05,-0.043600887060165405,-0.0,-1.0,0.0,0.0,-1.0221576468805735,
5,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.12184864282608032,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.21080806851387024,-0.0,-1.0,0.0,0.0,-1.0723198013166848,
6,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.10369420796632767,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.225542850792408,-0.0,-1.0,0.0,0.0,-1.0767402360002463,
7,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.9394846558570862,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.8357904478907585,-0.0,-1.0,0.0,0.0,-1.2598145151297513,
8,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.06051534414291382,-0.0,-1.0,0.0,0.0,-1.027231984005398,
9,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.37163418531417847,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.6283658146858215,-0.0,-1.0,0.0,0.0,-1.1975871251682704,
10,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.9646251201629639,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.5929909348487854,-0.0,-1.0,0.0,0.0,-1.1869746612171594,
11,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.6027281284332275,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.36189699172973633,-0.0,-1.0,0.0,0.0,-1.1176464782814448,
12,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.39727187156677246,-0.0,-1.0,0.0,0.0,-1.1282589422325555,
13,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.0,-0.0,-1.0,0.0,0.0,-1.0090773807625237,
14,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.0,-0.0,-1.0,0.0,0.0,-1.0090773807625237,
