step,speedX,speedY,angle,trackPos,distFromStart,distRaced,damage,steer,accel,brake,gear,r_speed,r_safety,r_smooth,r_anticipation,r_time,r_terminal,r_checkpoint,reward_total,terminal_reason
0,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.9158676862716675,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.0,-0.0,-1.0,0.0,0.0,-1.0090773807625237,
1,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,0.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.08413231372833252,-0.0,-1.0,0.0,0.0,-1.0343170748810235,
2,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,0.15271711349487305,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.0,-0.0,-1.0,0.0,0.0,-1.0090773807625237,
3,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.0,-0.0,-1.0,0.0,0.0,-1.0090773807625237,
4,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.0,-0.0,-1.0,0.0,0.0,-1.0090773807625237,
5,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.5316945910453796,0.22813940048217773,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.46830540895462036,-0.0,-1.0,0.0,0.0,-1.1495690034489099,
6,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.46830540895462036,-0.0,-1.0,0.0,0.0,-1.1495690034489099,
7,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.0933883786201477,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.9066116213798523,-0.0,-1.0,0.0,0.0,-1.2810608671764796,
8,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.9527566432952881,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.8593682646751404,-0.0,-1.0,0.0,0.0,-1.266887860165066,
9,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.047243356704711914,-0.0,-1.0,0.0,0.0,-1.0232503877739374,
10,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.8582876920700073,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.14171230792999268,-0.0,-1.0,0.0,0.0,-1.0515910731415217,
11,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.749245285987854,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-1.6075329780578613,-0.0,-1.0,0.0,0.0,-1.491337274179882,
12,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.7499030828475952,0.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-1.4991483688354492,-0.0,-1.0,0.0,0.0,-1.4588218914131585,
13,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.2500969171524048,-0.0,-1.0,0.0,0.0,-1.0841064559082452,
14,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.9650594592094421,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.03494054079055786,-0.0,-1.0,0.0,0.0,-1.019559542999691,
15,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.03494054079055786,-0.0,-1.0,0.0,0.0,-1.019559542999691,
16,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.769999623298645,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-1.769999623298645,-0.0,-1.0,0.0,0.0,-1.5400772677521173,
17,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.23000037670135498,-0.0,-1.0,0.0,0.0,-1.0780774937729303,
18,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.7916923761367798,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.20830762386322021,-0.0,-1.0,0.0,0.0,-1.0715696679214899,
19,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.09139057993888855,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.8830829560756683,-0.0,-1.0,0.0,0.0,-1.2740022675852243,
20,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-1.0913905799388885,-0.0,-1.0,0.0,0.0,-1.3364945547441902,
21,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-2.0,-0.0,-1.0,0.0,0.0,-1.6090773807625238,
22,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.6847091317176819,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-1.6847091317176819,-0.0,-1.0,0.0,0.0,-1.5144901202778285,
23,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.4010297358036041,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.28367939591407776,-0.0,-1.0,0.0,0.0,-1.0941811995367472,
